,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.76,0.27,0.66,0.51,0.72,0.48,0.2,0.28,0.07,0.57,0.44
ivef-sdk.csv,0.63,0.38,1.0,0.52,0.8,0.5,0.12,0.48,0.1,0.0,0.38
jaolt.csv,0.63,0.41,0.93,0.52,0.78,0.86,0.17,0.5,0.07,0.66,0.4
jmule.csv,0.6,0.32,0.67,0.45,0.77,0.4,0.41,0.35,0.04,0.6,0.81
jstock.csv,0.61,0.35,0.27,0.52,0.68,0.52,0.55,0.59,0.12,0.67,0.33
lphant.csv,0.68,0.32,0.42,0.53,0.73,0.71,0.35,0.52,0.07,0.7,0.54
novembre.csv,0.56,0.59,0.5,0.6,0.77,0.5,0.25,1.0,0.02,0.0,0.7
oorexx.csv,0.61,0.25,0.25,1.0,0.66,0.45,0.46,0.77,0.08,0.74,0.5
pi-qmc.csv,0.62,0.31,0.22,0.48,0.71,0.47,0.23,0.64,0.06,0.59,0.54
qedo.csv,0.5,0.17,0.98,0.83,0.47,0.44,0.22,0.14,0.24,0.67,0.44
yaprm.csv,0.74,0.4,0.73,0.68,0.77,0.8,0.26,0.73,0.11,0.63,0.43
