,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.44,0.35,0.48,0.33,0.41,0.45,0.33,0.41,0.51,0.39,0.32
ivef-sdk.csv,0.46,0.44,0.61,0.34,0.9,0.9,0.48,0.52,0.73,0.0,0.69
jaolt.csv,0.35,0.41,0.79,0.33,0.45,0.86,0.92,0.5,0.54,0.41,0.9
jmule.csv,0.38,0.41,0.89,0.39,0.37,0.34,0.41,0.6,0.43,0.45,0.46
jstock.csv,0.42,0.38,0.48,0.37,0.57,0.43,0.55,0.55,0.97,0.35,0.67
lphant.csv,0.32,0.32,0.54,0.3,0.34,0.43,0.35,0.48,0.31,0.4,0.34
novembre.csv,0.75,0.53,0.75,0.73,0.77,0.67,0.75,0.75,0.36,0.0,0.9
oorexx.csv,0.48,0.88,0.88,0.67,0.61,0.91,0.85,0.62,0.57,0.44,0.37
pi-qmc.csv,0.32,0.33,0.47,0.36,0.34,0.37,0.4,0.5,0.33,0.47,0.33
qedo.csv,0.93,0.92,0.68,0.83,0.93,0.89,0.47,0.95,0.79,0.92,0.61
yaprm.csv,0.35,0.4,0.82,0.43,0.92,0.8,0.36,0.73,0.76,0.45,0.38
