,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.72,0.87,0.85,1.0,0.77,0.73,0.77,1.0,0.73,0.86,0.92
ivef-sdk.csv,0.79,0.8,1.0,0.89,0.33,0.23,0.31,0.73,0.77,0.0,0.25
jaolt.csv,0.79,0.73,0.19,0.81,0.7,0.27,0.15,0.59,0.5,0.53,0.17
jmule.csv,0.81,0.73,0.09,0.62,0.77,0.86,0.85,0.64,0.27,0.67,0.88
jstock.csv,0.51,0.8,0.13,0.73,0.41,0.55,0.92,0.59,0.18,0.81,0.04
lphant.csv,0.91,0.87,0.15,0.76,0.67,0.68,0.92,0.59,0.41,0.58,0.79
novembre.csv,0.21,0.67,0.03,0.24,0.27,0.27,0.23,0.18,0.09,0.0,0.29
oorexx.csv,0.44,0.13,0.03,0.08,0.4,0.23,0.46,0.45,0.27,0.69,0.79
pi-qmc.csv,0.86,1.0,0.1,0.57,0.75,0.91,0.54,0.82,0.32,0.53,0.88
qedo.csv,0.16,0.13,0.88,0.14,0.1,0.18,0.54,0.14,0.73,0.22,0.33
yaprm.csv,0.79,0.67,0.12,0.68,0.14,0.18,0.77,0.5,0.68,0.67,0.67
