,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.63,0.46,0.69,0.41,0.2,0.56,0.41,0.71,0.63,0.51
ivatamasks.csv,0.54,0.72,0.42,0.69,0.26,0.46,0.39,0.69,0.44,0.45
orc.csv,0.06,0.57,0.81,0.57,0.13,0.55,0.41,0.49,0.36,0.58
plato.csv,0.38,0.0,0.23,0.63,0.39,0.76,0.37,0.62,0.27,0.33
rodin-b-sharp.csv,0.58,0.0,0.49,0.31,0.15,0.54,0.83,0.42,0.28,0.29
umber.csv,0.81,0.0,0.05,0.65,0.53,0.0,0.3,0.38,0.64,0.17
unicase.csv,0.82,0.93,0.4,0.37,0.43,0.61,0.62,0.7,0.73,0.44
uwom.csv,0.18,0.59,0.63,0.21,0.45,0.37,0.27,0.25,0.37,0.83
vienna-add-in.csv,0.57,0.55,0.44,0.52,0.73,0.35,0.32,0.58,0.38,0.34
wpdev.csv,0.09,1.0,0.09,0.0,0.09,0.0,0.0,0.29,0.05,0.66
