,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.48,0.41,0.46,0.73,0.93,0.41,0.56,0.73,0.39,0.54
ivatamasks.csv,0.34,0.4,0.31,0.37,0.36,0.32,0.35,0.39,0.38,0.38
orc.csv,0.67,0.41,0.63,0.55,0.94,0.36,0.56,0.67,0.67,0.51
plato.csv,0.34,0.39,0.31,0.51,0.45,0.56,0.42,0.61,0.41,0.43
rodin-b-sharp.csv,0.9,0.71,0.94,0.93,0.93,0.56,0.67,0.56,0.9,0.59
umber.csv,0.55,0.38,0.29,0.4,0.49,0.42,0.39,0.45,0.38,0.4
unicase.csv,0.52,0.4,0.3,0.44,0.6,0.43,0.43,0.58,0.42,0.44
uwom.csv,0.59,0.47,0.54,0.83,0.38,0.62,0.53,0.84,0.61,0.6
vienna-add-in.csv,0.44,0.64,0.42,0.59,0.58,0.72,0.78,0.5,0.67,0.91
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.38,0.43,0.39,0.43
