,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.48,0.58,0.26,0.49,0.29,0.73,0.39,0.55,0.78,0.43
ivatamasks.csv,0.44,0.81,0.16,0.76,0.71,0.6,0.46,0.36,0.77,0.37
orc.csv,0.09,0.68,0.44,0.65,0.18,0.69,0.39,0.32,0.46,0.44
plato.csv,0.44,0.99,0.15,0.73,0.76,0.84,0.52,0.32,0.83,0.36
rodin-b-sharp.csv,0.69,0.62,0.42,0.37,0.21,0.67,0.79,0.2,0.37,0.15
umber.csv,0.77,0.87,0.19,0.84,0.64,0.91,0.54,0.27,0.72,0.34
unicase.csv,0.67,0.96,0.19,0.76,0.5,0.91,0.57,0.37,0.8,0.33
uwom.csv,0.12,0.7,0.27,0.3,0.52,0.48,0.22,0.2,0.47,0.61
vienna-add-in.csv,0.41,0.72,0.13,0.62,0.78,0.47,0.27,0.29,0.47,0.26
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.53,0.26,0.84,0.44
