,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.88,0.52,0.67,0.58,0.67,0.72,0.43,0.08,0.25,0.76,0.68,0.65,0.36,0.93,0.88,0.64,0.43
chaosrts.csv,0.62,0.31,0.4,0.6,0.61,0.68,0.51,0.1,0.07,0.47,0.64,0.57,0.3,0.87,0.44,0.68,0.41
cortex-vfx.csv,0.66,0.56,0.56,0.58,0.58,0.54,0.57,0.11,0.22,0.5,0.46,0.41,0.45,0.74,0.49,0.62,0.4
fm-classic.csv,0.45,0.4,0.35,0.16,0.42,0.07,0.37,0.55,0.18,0.16,0.03,0.06,0.43,0.21,0.44,0.38,0.08
fritzing.csv,0.76,0.64,0.73,0.65,0.55,0.6,0.69,0.06,0.31,0.7,0.53,0.49,0.37,0.55,0.65,0.62,0.41
jlinalg.csv,0.86,0.38,0.44,0.53,0.58,0.53,0.38,0.11,0.21,0.49,0.62,0.49,0.37,0.72,0.84,0.59,0.31
loki-lib.csv,0.62,0.37,0.31,0.63,0.56,0.7,0.29,0.08,0.14,0.65,0.52,0.64,0.23,0.82,0.24,0.56,0.41
metacosm.csv,0.74,0.52,0.54,0.51,0.52,0.2,0.43,0.14,0.19,0.61,0.3,0.22,0.37,0.43,0.71,0.75,0.4
multitude.csv,0.84,0.53,0.66,0.59,0.64,0.67,0.5,0.12,0.27,0.73,0.68,0.58,0.39,0.76,0.87,0.63,0.43
ng4j.csv,0.68,0.57,0.7,0.66,0.64,0.65,0.65,0.1,0.2,0.68,0.61,0.59,0.39,0.81,0.67,0.64,0.61
phonon-vlc-mplayer.csv,0.77,0.58,0.72,0.67,0.63,0.69,0.69,0.12,0.15,0.74,0.55,0.5,0.42,0.89,0.74,0.67,0.48
playerstage.csv,0.61,0.6,0.71,0.71,0.59,0.72,0.67,0.06,0.14,0.71,0.53,0.48,0.35,0.63,0.76,0.63,0.53
qgis.csv,0.76,0.49,0.69,0.55,0.67,0.0,0.57,0.11,0.18,0.44,0.54,0.42,0.37,0.44,0.81,0.71,0.44
rsyslog.csv,0.81,0.53,0.62,0.55,0.66,0.73,0.39,0.08,0.13,0.54,0.57,0.56,0.36,0.92,0.28,0.5,0.34
rtrt-on-gpu.csv,0.27,0.38,0.32,0.31,0.31,0.46,0.1,0.0,0.64,0.43,0.39,0.25,0.25,0.27,0.32,0.34,0.25
superwaba.csv,0.4,0.65,0.65,0.56,0.67,0.65,0.33,0.1,0.24,0.72,0.57,0.54,0.37,0.91,0.37,0.59,0.43
unflobtactical.csv,0.72,0.51,0.66,0.66,0.61,0.62,0.68,0.04,0.08,0.76,0.63,0.52,0.35,0.88,0.81,0.63,0.41
