,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.52,0.42,0.43,0.35,0.4,0.52,0.47,0.29,0.4,0.39,0.41,0.51,0.42,0.38,0.55,0.41,0.41
chaosrts.csv,0.44,0.85,0.88,0.45,0.47,0.52,0.57,0.31,0.79,0.6,0.5,0.48,0.5,0.46,0.52,0.4,0.49
cortex-vfx.csv,0.38,0.49,0.46,0.47,0.52,0.53,0.76,0.37,0.88,0.48,0.59,0.8,0.65,0.4,0.7,0.39,0.87
fm-classic.csv,0.69,0.95,0.85,0.8,0.71,0.0,0.96,0.88,0.0,0.67,0.0,0.8,0.79,0.94,0.68,0.8,0.8
fritzing.csv,0.46,0.51,0.46,0.48,0.57,0.52,0.74,0.31,0.67,0.36,0.55,0.75,0.79,0.46,0.68,0.43,0.69
jlinalg.csv,0.46,0.8,0.57,0.47,0.45,0.78,0.55,0.38,0.42,0.53,0.55,0.46,0.43,0.44,0.45,0.44,0.64
loki-lib.csv,0.41,0.64,0.94,0.44,0.5,0.51,0.5,0.29,0.75,0.33,0.56,0.47,0.9,0.5,0.83,0.44,0.49
metacosm.csv,0.44,0.6,0.47,0.68,0.49,0.75,0.68,0.58,0.45,0.46,0.94,0.88,0.41,0.49,0.52,0.42,0.87
multitude.csv,0.53,0.41,0.43,0.35,0.4,0.52,0.48,0.55,0.37,0.36,0.44,0.43,0.41,0.4,0.5,0.42,0.47
ng4j.csv,0.37,0.42,0.42,0.41,0.47,0.52,0.66,0.44,0.42,0.41,0.51,0.64,0.42,0.4,0.64,0.38,0.53
phonon-vlc-mplayer.csv,0.44,0.44,0.47,0.48,0.51,0.55,0.85,0.36,0.67,0.36,0.55,0.63,0.54,0.39,0.62,0.39,0.86
playerstage.csv,0.56,0.53,0.45,0.52,0.6,0.59,0.73,0.57,0.75,0.39,0.58,0.68,0.44,0.52,0.67,0.42,0.6
qgis.csv,0.58,0.54,0.45,0.41,0.52,0.0,0.58,0.38,0.67,0.6,0.53,0.65,0.44,0.7,0.6,0.52,0.73
rsyslog.csv,0.46,0.41,0.43,0.37,0.45,0.46,0.52,0.3,0.6,0.38,0.48,0.44,0.42,0.41,0.87,0.48,0.52
rtrt-on-gpu.csv,0.9,0.53,0.97,0.62,0.87,0.71,0.63,0.62,0.87,0.65,0.8,0.89,0.51,0.94,0.83,0.77,0.5
superwaba.csv,0.47,0.43,0.42,0.51,0.41,0.57,0.42,0.33,0.53,0.34,0.53,0.52,0.43,0.38,0.81,0.37,0.47
unflobtactical.csv,0.6,0.43,0.43,0.45,0.52,0.63,0.78,0.45,0.6,0.36,0.45,0.62,0.49,0.45,0.6,0.43,0.54
