,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.84,0.67,0.78,0.47,0.66,0.99,0.03,0.33,0.88,0.9,0.85,0.86,0.74
ivef-sdk.csv,0.98,0.45,0.7,0.75,0.76,0.0,0.98,1.0,0.79,0.84,1.0,1.08,0.91
jmri.csv,0.84,0.73,0.05,0.67,0.73,0.83,0.81,0.46,0.62,0.78,0.72,0.82,1.04
jython.csv,0.64,0.7,0.67,0.52,0.7,0.19,0.67,0.05,0.6,0.66,0.39,0.65,0.74
kdenlive.csv,0.01,0.6,0.73,1.08,0.72,1.04,0.79,0.96,0.84,0.71,0.77,0.72,0.77
opentibia.csv,0.82,0.08,0.7,1.0,0.77,0.32,0.67,1.0,0.85,0.71,0.69,0.76,0.61
projectfactory.csv,0.97,0.8,0.67,0.58,0.73,0.63,0.73,0.78,0.76,0.03,0.85,0.6,1.03
runuomondains.csv,0.88,0.94,0.97,0.93,1.0,0.81,1.0,0.68,0.93,0.97,0.38,0.96,1.0
somap.csv,1.0,1.0,0.94,1.0,0.68,1.0,1.0,1.0,1.0,0.95,0.97,0.0,0.54
taverna.csv,0.91,0.85,0.86,0.81,0.04,1.05,0.79,0.91,0.8,0.8,0.91,0.74,0.69
tigermud.csv,0.84,0.78,0.82,0.96,0.61,0.77,0.5,0.97,0.98,0.69,0.75,0.79,0.07
unbvision.csv,0.57,0.71,0.78,0.93,0.7,0.66,0.87,0.68,0.03,0.6,0.61,0.44,0.83
x-ray-mule.csv,0.68,0.55,0.75,0.07,0.71,0.48,0.68,1.0,0.84,0.87,0.9,0.83,0.93
