,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.36,0.61,0.34,0.68,0.42,0.59,0.98,0.59,0.27,0.17,0.19,0.34,0.72
ivef-sdk.csv,0.74,0.8,0.56,0.8,0.5,1.0,0.25,0.0,0.41,0.55,0.0,0.71,0.3
jmri.csv,0.67,0.69,0.97,0.74,0.38,0.37,0.45,0.35,0.45,0.39,0.19,0.32,0.53
jython.csv,0.62,0.54,0.58,0.72,0.41,0.89,0.56,0.98,0.41,0.64,0.38,0.72,0.48
kdenlive.csv,0.99,0.77,0.58,0.4,0.38,0.66,0.46,0.21,0.39,0.57,0.23,0.82,0.47
opentibia.csv,0.8,0.99,0.49,0.73,0.32,0.88,0.46,0.22,0.41,0.42,0.23,0.74,0.69
projectfactory.csv,0.59,0.79,0.47,0.69,0.4,0.87,0.48,0.25,0.45,0.97,0.13,0.65,0.63
runuomondains.csv,0.27,0.21,0.05,0.16,0.0,0.32,0.0,0.39,0.12,0.05,0.77,0.08,0.0
somap.csv,0.78,0.93,0.64,0.75,0.58,0.82,0.65,0.23,0.41,0.66,0.22,1.0,0.73
taverna.csv,0.19,0.34,0.24,0.33,0.98,0.07,0.35,0.13,0.29,0.31,0.09,0.43,0.52
tigermud.csv,0.42,0.62,0.42,0.47,0.49,0.82,0.69,0.19,0.31,0.51,0.27,0.71,0.96
unbvision.csv,0.66,0.53,0.6,0.2,0.38,0.62,0.29,0.24,0.98,0.54,0.26,0.74,0.39
x-ray-mule.csv,0.53,0.66,0.41,0.97,0.39,0.69,0.57,0.0,0.25,0.24,0.1,0.37,0.44
