,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.38,0.35,0.62,0.53,0.48,0.54,0.12,0.66,0.57,0.34
fritzing.csv,0.66,0.6,0.74,0.58,0.78,0.52,0.12,0.44,0.55,0.42
jlinalg.csv,0.86,0.28,0.46,0.58,0.56,0.72,0.23,0.46,0.46,0.36
knowledge.csv,0.79,0.7,0.66,0.52,0.87,0.65,0.24,0.55,0.63,0.6
massiv.csv,0.15,0.35,0.41,0.0,0.0,0.99,0.0,0.63,0.0,0.0
multitude.csv,0.43,0.6,0.64,0.59,0.67,0.64,0.48,0.66,0.53,0.7
playerstage.csv,0.53,0.62,0.71,0.73,0.75,0.53,0.12,0.65,0.49,0.52
quarkplusplus.csv,0.83,0.63,0.62,0.45,0.56,0.76,0.12,0.61,0.64,0.38
rtrt-on-gpu.csv,0.3,0.27,0.37,0.44,0.43,0.0,0.73,0.12,0.48,0.37
superwaba.csv,0.59,0.75,0.68,0.61,0.64,0.8,0.43,0.64,0.5,0.56
