,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.59,0.0,0.0,0.55,0.47,0.0,0.0,0.0,0.77
cornerstone.csv,0.37,0.0,0.44,0.0,0.0,0.66,0.0,0.18,0.58,0.78,0.27,0.51,0.26,0.03,0.0,0.2,0.81
emeraldemu.csv,0.4,0.0,0.32,0.56,0.67,0.67,0.58,0.16,0.65,0.67,0.24,0.51,0.37,0.79,0.55,0.17,0.73
fw4spl.csv,0.41,0.0,0.0,0.0,0.0,0.12,0.0,0.33,0.67,0.19,0.21,0.54,0.45,0.0,0.0,0.3,0.77
gpac.csv,0.37,0.21,0.4,0.47,0.76,0.65,0.57,0.16,0.58,0.68,0.23,0.51,0.24,0.83,0.7,0.17,0.83
hydrogen.csv,0.14,0.0,0.55,0.0,0.37,0.26,0.0,0.3,0.22,0.44,0.2,0.5,0.52,0.29,0.0,0.16,0.34
k3b.csv,0.38,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.56,0.0,0.0,0.59,0.49,0.0,0.0,0.11,0.87
lsb.csv,0.37,0.0,0.78,0.0,0.65,0.66,0.0,0.16,0.56,0.7,0.26,0.51,0.25,0.76,0.0,0.16,0.83
maya-work-in-progress.csv,0.47,0.21,0.38,0.47,0.76,0.66,0.57,0.18,0.83,0.68,0.24,0.55,0.34,0.83,0.7,0.16,0.65
mia.csv,0.37,0.0,0.0,0.0,0.0,0.2,0.0,0.12,0.33,0.0,0.0,0.34,0.29,0.0,0.0,0.38,0.38
nicepress.csv,0.35,0.0,0.16,0.0,0.0,0.12,0.0,0.3,0.56,0.11,0.0,0.78,0.26,0.0,0.0,0.0,0.72
nova.csv,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.24
open-beos.csv,0.37,0.0,0.4,0.0,0.75,0.65,0.55,0.16,0.58,0.68,0.23,0.51,0.24,0.83,0.66,0.17,0.83
sbml.csv,0.37,0.0,0.47,0.0,0.64,0.66,0.0,0.16,0.58,0.67,0.23,0.51,0.24,0.9,0.0,0.17,0.83
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upp-mirror.csv,0.37,0.21,0.4,0.47,0.76,0.65,0.57,0.16,0.58,0.68,0.23,0.51,0.24,0.83,0.7,0.17,0.83
yield.csv,0.4,0.0,0.2,0.0,0.17,0.78,0.0,0.17,0.66,0.59,0.29,0.49,0.33,0.7,0.0,0.14,0.76
