,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.85,1.0,1.0,0.76,0.41,1.0,1.0,1.0,0.53
cornerstone.csv,1.0,1.0,0.58,1.0,1.0,0.63,1.0,0.81,1.0,0.33,0.73,1.0,0.92,0.99,1.0,0.66,1.0
emeraldemu.csv,0.61,1.0,0.8,0.53,0.72,0.65,0.51,0.9,0.6,0.98,0.76,0.62,0.46,0.43,0.61,0.83,0.62
fw4spl.csv,0.63,1.0,1.0,1.0,1.0,0.94,1.0,0.58,0.49,0.9,0.88,0.56,0.38,1.0,1.0,0.78,0.49
gpac.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hydrogen.csv,0.92,1.0,0.62,1.0,0.77,0.84,1.0,0.5,0.88,0.69,0.82,0.6,0.56,0.83,1.0,0.84,0.79
k3b.csv,0.89,1.0,1.0,1.0,1.0,0.89,1.0,0.61,1.0,1.0,1.0,0.55,0.36,1.0,1.0,0.94,0.39
lsb.csv,1.0,1.0,0.29,1.0,0.51,0.62,1.0,1.0,1.0,0.81,0.8,0.94,0.97,0.39,1.0,0.98,1.0
maya-work-in-progress.csv,0.69,1.0,0.99,1.0,1.0,0.94,1.0,0.79,0.22,1.0,0.92,0.58,0.54,1.0,1.0,0.97,0.56
mia.csv,0.61,1.0,1.0,1.0,1.0,0.89,1.0,0.81,0.78,1.0,1.0,0.74,0.81,1.0,1.0,0.72,0.78
nicepress.csv,1.0,1.0,0.91,1.0,1.0,0.94,1.0,0.68,0.6,0.94,1.0,0.23,0.76,1.0,1.0,1.0,0.62
nova.csv,0.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.86
open-beos.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0
sbml.csv,1.0,1.0,0.61,1.0,0.54,0.86,1.0,1.0,1.0,0.96,0.99,0.99,0.99,0.32,1.0,1.0,1.0
unladen-swallow.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upp-mirror.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yield.csv,0.61,1.0,0.89,1.0,0.91,0.29,1.0,0.83,0.62,0.65,0.54,0.76,0.61,0.45,1.0,1.0,0.66
