,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.85,0.0,0.0,0.75,0.17,0.0,0.0,0.0,0.46
cornerstone.csv,1.0,0.0,0.18,0.0,0.0,0.6,0.0,0.81,1.0,0.26,0.72,1.0,0.92,0.0,0.0,0.62,1.0
emeraldemu.csv,0.52,0.0,0.02,0.1,0.66,0.63,0.21,0.9,0.6,0.98,0.74,0.54,0.42,0.34,0.32,0.81,0.54
fw4spl.csv,0.59,0.0,0.0,0.0,0.0,0.01,0.0,0.11,0.47,0.0,0.01,0.46,0.22,0.0,0.0,0.03,0.42
gpac.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hydrogen.csv,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.19,0.02,0.17,0.1,0.13,0.04,0.03,0.0,0.1,0.04
k3b.csv,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.0,0.0,0.0,0.52,0.18,0.0,0.0,0.0,0.38
lsb.csv,1.0,0.0,0.04,0.0,0.29,0.59,0.0,1.0,1.0,0.81,0.8,0.94,0.97,0.19,0.0,0.98,1.0
maya-work-in-progress.csv,0.0,1.0,0.99,1.0,1.0,0.94,1.0,0.79,0.11,1.0,0.92,0.54,0.53,1.0,1.0,0.97,0.33
mia.csv,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.06,0.0,0.0,0.17,0.02,0.0,0.0,0.02,0.25
nicepress.csv,1.0,0.0,0.01,0.0,0.0,0.03,0.0,0.08,0.51,0.02,0.01,0.13,0.11,0.0,0.0,0.0,0.54
nova.csv,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
open-beos.csv,1.0,0.0,1.0,0.0,1.0,1.0,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,1.0,1.0
sbml.csv,1.0,0.0,0.59,0.0,0.32,0.85,0.0,1.0,1.0,0.96,0.99,0.99,0.99,0.31,0.0,1.0,1.0
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upp-mirror.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yield.csv,0.52,0.0,0.0,0.0,0.02,0.15,0.0,0.83,0.62,0.53,0.41,0.72,0.61,0.12,0.0,0.98,0.62
