,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.43,0.0,0.0,0.39,0.37,0.0,0.0,0.0,0.8
cornerstone.csv,0.23,0.0,0.44,0.0,0.0,0.55,0.0,0.1,0.41,0.76,0.16,0.34,0.15,1.0,0.0,0.11,0.7
emeraldemu.csv,0.28,0.0,0.75,0.68,0.63,0.55,0.63,0.09,0.51,0.51,0.14,0.4,0.24,0.84,0.64,0.09,0.76
fw4spl.csv,0.28,0.0,0.0,0.0,0.0,0.8,0.0,0.27,0.55,1.0,0.75,0.44,0.33,0.0,0.0,0.44,0.81
gpac.csv,0.23,0.12,0.25,0.31,0.61,0.48,0.4,0.09,0.41,0.51,0.13,0.34,0.14,0.7,0.54,0.09,0.71
hydrogen.csv,1.0,0.0,1.0,0.0,0.88,0.77,0.0,0.21,0.8,0.67,0.22,0.62,0.64,0.93,0.0,0.15,0.92
k3b.csv,0.24,0.0,0.0,0.0,0.0,1.0,0.0,0.11,0.4,0.0,0.0,0.45,0.38,0.0,0.0,1.0,0.85
lsb.csv,0.23,0.0,0.86,0.0,0.76,0.56,0.0,0.09,0.4,0.55,0.15,0.35,0.14,0.89,0.0,0.09,0.71
maya-work-in-progress.csv,1.0,0.12,0.24,0.31,0.61,0.49,0.4,0.1,0.84,0.51,0.14,0.43,0.21,0.7,0.54,0.09,0.8
mia.csv,0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.7,0.0,0.0,0.45,0.6,0.0,0.0,0.62,0.71
nicepress.csv,0.21,0.0,0.8,0.0,0.0,0.67,0.0,0.27,0.48,0.75,0.0,0.76,0.27,0.0,0.0,0.0,0.75
nova.csv,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.0
open-beos.csv,0.23,0.0,0.25,0.0,0.61,0.48,0.64,0.09,0.41,0.51,0.13,0.34,0.14,0.7,0.62,0.09,0.71
sbml.csv,0.23,0.0,0.32,0.0,0.73,0.5,0.0,0.09,0.41,0.51,0.13,0.35,0.14,0.88,0.0,0.09,0.71
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upp-mirror.csv,0.23,0.12,0.25,0.31,0.61,0.48,0.4,0.09,0.41,0.51,0.13,0.34,0.14,0.7,0.54,0.09,0.71
yield.csv,0.28,0.0,1.0,0.0,0.86,0.82,0.0,0.09,0.51,0.55,0.19,0.36,0.2,0.91,0.0,0.08,0.75
