,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.46,0.0,0.0,0.6,0.65,0.0,0.0,0.0,0.69
cornerstone.csv,0.0,0.0,0.48,0.0,0.0,0.67,0.0,0.53,0.0,0.79,0.63,0.0,0.3,0.01,0.0,0.64,0.0
emeraldemu.csv,0.63,0.0,0.24,0.53,0.59,0.67,0.58,0.34,0.73,0.09,0.57,0.63,0.75,0.73,0.51,0.5,0.64
fw4spl.csv,0.65,0.0,0.0,0.0,0.0,0.07,0.0,0.48,0.75,0.12,0.15,0.65,0.71,0.0,0.0,0.26,0.7
gpac.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen.csv,0.1,0.0,0.43,0.0,0.27,0.19,0.0,0.58,0.15,0.38,0.23,0.47,0.49,0.2,0.0,0.2,0.25
k3b.csv,0.37,0.0,0.0,0.0,0.0,0.13,0.0,0.66,0.0,0.0,0.0,0.72,0.71,0.0,0.0,0.07,0.83
lsb.csv,0.0,0.0,0.75,0.0,0.6,0.68,0.0,0.0,0.0,0.53,0.54,0.24,0.13,0.69,0.0,0.09,0.0
maya-work-in-progress.csv,0.36,0.0,0.05,0.0,0.0,0.24,0.0,0.56,0.82,0.0,0.3,0.68,0.75,0.0,0.0,0.13,0.57
mia.csv,0.49,0.0,0.0,0.0,0.0,0.13,0.0,0.26,0.26,0.0,0.0,0.32,0.23,0.0,0.0,0.33,0.3
nicepress.csv,0.0,0.0,0.11,0.0,0.0,0.07,0.0,0.37,0.64,0.07,0.0,0.82,0.29,0.0,0.0,0.0,0.63
nova.csv,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.17
open-beos.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0
sbml.csv,0.0,0.0,0.71,0.0,0.58,0.46,0.0,0.0,0.0,0.17,0.05,0.05,0.05,0.87,0.0,0.0,0.0
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upp-mirror.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yield.csv,0.63,0.0,0.13,0.0,0.11,0.77,0.0,0.49,0.73,0.59,0.64,0.57,0.73,0.61,0.0,0.09,0.64
