,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.44,0.0,0.0,0.4,0.52,0.0,0.0,0.0,0.39
cornerstone.csv,0.42,0.0,0.78,0.0,0.0,0.46,0.0,0.38,0.46,0.45,0.41,0.42,0.51,0.0,0.0,0.4,0.39
emeraldemu.csv,0.38,0.0,0.92,0.68,0.3,0.39,0.44,0.34,0.44,0.31,0.4,0.45,0.49,0.38,0.43,0.36,0.41
fw4spl.csv,0.36,0.0,0.0,0.0,0.0,0.8,0.0,0.98,0.43,0.8,0.88,0.46,0.52,0.0,0.0,0.89,0.42
gpac.csv,0.42,0.48,0.55,0.35,0.37,0.44,0.4,0.34,0.46,0.32,0.39,0.42,0.51,0.37,0.32,0.4,0.39
hydrogen.csv,0.0,0.0,0.82,0.0,0.94,0.92,0.0,0.68,0.8,0.71,0.98,0.58,0.82,0.93,0.0,0.95,0.77
k3b.csv,0.43,0.0,0.0,0.0,0.0,0.86,0.0,0.37,0.46,0.0,0.0,0.41,0.55,0.0,0.0,0.0,0.43
lsb.csv,0.42,0.0,0.54,0.0,0.39,0.42,0.0,0.34,0.46,0.33,0.4,0.41,0.5,0.36,0.0,0.4,0.39
maya-work-in-progress.csv,0.75,0.48,0.56,0.35,0.37,0.43,0.4,0.37,0.48,0.32,0.4,0.45,0.49,0.37,0.32,0.4,0.38
mia.csv,0.68,0.0,0.0,0.0,0.0,0.86,0.0,0.99,0.8,0.0,0.0,0.95,0.8,0.0,0.0,0.88,0.95
nicepress.csv,0.43,0.0,0.8,0.0,0.0,0.83,0.0,0.98,0.54,0.75,0.67,0.5,0.93,0.0,0.0,0.0,0.42
nova.csv,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.88
open-beos.csv,0.42,0.0,0.55,0.0,0.37,0.44,0.48,0.34,0.46,0.32,0.39,0.42,0.51,0.37,0.33,0.4,0.39
sbml.csv,0.42,0.0,0.68,0.0,0.37,0.44,0.0,0.34,0.46,0.33,0.39,0.42,0.5,0.36,0.0,0.4,0.39
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upp-mirror.csv,0.42,0.48,0.55,0.35,0.37,0.44,0.4,0.34,0.46,0.32,0.39,0.42,0.51,0.37,0.32,0.4,0.39
yield.csv,0.38,0.0,0.8,0.0,0.86,0.46,0.0,0.34,0.47,0.43,0.48,0.49,0.57,0.43,0.0,0.41,0.43
