,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.94,0.0,0.0,0.92,0.62,0.0,0.0,0.0,0.74
cornerstone.csv,1.0,0.0,0.44,0.0,0.0,0.81,0.0,0.97,1.0,0.8,0.92,1.0,1.0,0.01,0.0,0.78,0.97
emeraldemu.csv,0.69,0.0,0.2,0.48,0.72,0.84,0.54,0.89,0.91,0.98,0.81,0.69,0.81,0.75,0.48,0.83,0.71
fw4spl.csv,0.77,0.0,0.0,0.0,0.0,0.06,0.0,0.43,0.84,0.1,0.12,0.69,0.69,0.0,0.0,0.22,0.74
gpac.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hydrogen.csv,0.08,0.0,0.38,0.0,0.23,0.16,0.0,0.54,0.12,0.33,0.19,0.42,0.44,0.17,0.0,0.17,0.21
k3b.csv,0.92,0.0,0.0,0.0,0.0,0.11,0.0,0.76,0.97,0.0,0.0,0.83,0.69,0.0,0.0,0.06,0.9
lsb.csv,1.0,0.0,0.71,0.0,0.58,0.81,0.0,1.0,0.97,0.96,0.94,0.97,1.0,0.66,0.0,0.94,1.0
maya-work-in-progress.csv,0.31,1.0,0.96,1.0,1.0,0.98,1.0,0.95,0.81,1.0,1.0,0.78,0.88,1.0,1.0,0.94,0.55
mia.csv,0.46,0.0,0.0,0.0,0.0,0.11,0.0,0.22,0.22,0.0,0.0,0.28,0.19,0.0,0.0,0.28,0.26
nicepress.csv,0.92,0.0,0.09,0.0,0.0,0.06,0.0,0.32,0.69,0.06,0.0,0.81,0.25,0.0,0.0,0.0,0.69
nova.csv,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.14
open-beos.csv,1.0,0.0,1.0,0.0,0.98,1.0,0.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0
sbml.csv,1.0,0.0,0.87,0.0,0.56,0.94,0.0,1.0,1.0,0.96,1.0,1.0,1.0,0.93,0.0,1.0,1.0
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upp-mirror.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yield.csv,0.69,0.0,0.11,0.0,0.09,0.75,0.0,0.92,0.94,0.63,0.65,0.78,0.94,0.57,0.0,0.83,0.78
