,nova.csv,unladen-swallow.csv,lsb.csv,emeraldemu.csv,upp-mirror.csv,yield.csv,open-beos.csv,cities3d.csv,maya-work-in-progress.csv,cornerstone.csv,fw4spl.csv,nicepress.csv,hydrogen.csv,sbml.csv,gpac.csv,mia.csv,k3b.csv
cities3d.csv,17.0,2958.0,181.0,452.0,104.0,130.0,339.0,0.0,0.0,95.0,369.0,10.0,7.0,107.0,102.0,195.0,3.0
cornerstone.csv,17.0,2958.0,2.0,452.0,104.0,4.0,339.0,42.0,0.0,0.0,38.0,16.0,3.0,0.0,102.0,12.0,0.0
emeraldemu.csv,2.0,2958.0,0.0,0.0,1.0,5.0,5.0,36.0,3.0,4.0,44.0,6.0,3.0,0.0,0.0,20.0,0.0
fw4spl.csv,3.0,2958.0,181.0,452.0,104.0,0.0,339.0,13.0,1.0,0.0,0.0,8.0,14.0,107.0,102.0,0.0,0.0
gpac.csv,17.0,3.0,1.0,7.0,1.0,8.0,8.0,53.0,0.0,0.0,72.0,16.0,5.0,1.0,0.0,8.0,0.0
hydrogen.csv,0.0,2958.0,0.0,452.0,1.0,0.0,339.0,21.0,0.0,0.0,8.0,2.0,0.0,0.0,102.0,11.0,0.0
k3b.csv,13.0,2958.0,181.0,452.0,104.0,0.0,339.0,5.0,0.0,95.0,369.0,6.0,2.0,107.0,102.0,0.0,0.0
lsb.csv,17.0,2958.0,0.0,452.0,0.0,5.0,339.0,52.0,0.0,0.0,45.0,16.0,4.0,0.0,102.0,7.0,0.0
maya-work-in-progress.csv,0.0,3.0,1.0,7.0,1.0,6.0,8.0,33.0,0.0,0.0,54.0,8.0,10.0,1.0,0.0,8.0,1.0
mia.csv,7.0,2958.0,181.0,452.0,104.0,0.0,339.0,25.0,0.0,95.0,369.0,1.0,1.0,107.0,102.0,2.0,4.0
nicepress.csv,17.0,2958.0,1.0,452.0,104.0,0.0,339.0,16.0,15.0,1.0,369.0,0.0,4.0,107.0,102.0,195.0,0.0
nova.csv,0.0,2958.0,181.0,452.0,104.0,130.0,339.0,432.0,78.0,95.0,369.0,3.0,115.0,107.0,102.0,195.0,0.0
open-beos.csv,17.0,2958.0,1.0,452.0,1.0,8.0,6.0,53.0,0.0,0.0,72.0,16.0,5.0,1.0,2.0,8.0,0.0
sbml.csv,17.0,2958.0,1.0,452.0,0.0,6.0,339.0,53.0,0.0,0.0,70.0,15.0,5.0,0.0,102.0,8.0,0.0
unladen-swallow.csv,56.0,2958.0,181.0,452.0,104.0,130.0,339.0,432.0,78.0,95.0,369.0,104.0,115.0,107.0,102.0,195.0,81.0
upp-mirror.csv,17.0,3.0,1.0,7.0,1.0,8.0,8.0,53.0,0.0,0.0,72.0,16.0,5.0,1.0,0.0,8.0,0.0
yield.csv,2.0,2958.0,0.0,452.0,0.0,0.0,339.0,46.0,0.0,2.0,6.0,11.0,1.0,0.0,102.0,8.0,0.0
