,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.48,0.41,0.65,0.64,0.49,0.47,0.55,0.67
decidr.csv,0.5,0.39,0.74,0.42,0.46,0.45,0.56,0.47
exist.csv,0.61,0.39,0.92,0.52,0.45,0.45,0.88,0.67
ivatamasks.csv,0.42,0.38,0.53,0.43,0.36,0.45,0.5,0.42
libopenmetaverse.csv,0.44,0.54,0.46,0.53,0.39,0.49,0.42,0.64
mule.csv,0.68,0.46,0.5,0.44,0.6,0.57,0.83,0.46
runuomondains.csv,0.8,0.81,0.67,0.8,0.73,0.76,0.75,0.88
