,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.52,0.45,0.74,0.47,0.72,0.62,0.41,0.42,0.5,0.43,0.57,0.58,0.5,0.44,0.5,0.6,0.88,0.45,0.65
auber.csv,0.57,0.61,0.51,0.45,0.62,0.55,0.93,0.58,0.34,0.55,0.68,0.54,0.52,0.69,0.5,0.44,0.73,0.42,0.69
cortex-vfx.csv,0.6,0.59,0.98,0.88,0.69,0.68,0.68,0.65,0.59,0.76,0.63,0.85,0.75,0.88,0.52,0.64,0.72,0.72,0.78
empserver.csv,0.51,0.42,0.36,0.38,0.65,0.48,0.53,0.38,0.38,0.45,0.47,0.39,0.54,0.46,0.45,0.45,0.4,0.35,0.48
flylegacy.csv,0.51,0.38,0.35,0.34,0.58,0.5,0.8,0.34,0.34,0.37,0.42,0.38,0.46,0.48,0.34,0.42,0.63,0.35,0.65
galaxium.csv,0.73,0.92,0.98,0.88,0.96,0.99,0.77,0.0,0.73,0.8,0.79,0.63,0.8,0.95,0.69,0.0,0.86,0.8,0.68
growl-for-windows.csv,0.54,0.31,0.54,0.39,0.42,0.64,0.42,0.38,0.34,0.4,0.48,0.42,0.55,0.6,0.35,0.45,0.56,0.36,0.54
k3d.csv,1.0,0.91,0.8,0.48,0.97,1.0,0.44,0.73,0.67,0.67,0.0,0.83,0.93,0.75,0.0,0.86,0.0,0.67,0.65
libarchive.csv,0.41,0.32,0.47,0.34,0.41,0.47,0.42,0.34,0.34,0.41,0.45,0.39,0.45,0.42,0.35,0.38,0.6,0.34,0.55
linux-ntfs.csv,0.56,0.44,0.58,0.58,0.61,0.74,0.59,0.47,0.5,0.61,0.52,0.59,0.74,0.74,0.5,0.54,0.57,0.61,0.62
m-a-d-n-e-s-s.csv,0.53,0.38,0.99,0.67,0.92,0.54,0.82,0.69,0.82,0.64,0.54,0.94,0.92,0.58,0.65,0.75,0.85,0.91,0.73
novembre.csv,0.57,0.92,0.93,0.67,0.96,0.74,0.79,0.71,0.82,0.72,0.61,0.9,0.9,0.94,0.88,0.83,0.89,0.89,0.6
qtwin.csv,0.98,0.5,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.5,0.36,0.39,0.35,0.39,0.49,0.42,0.4,0.33,0.44,0.46,0.41,0.43,0.44,0.35,0.42,0.46,0.41,0.43
tweetsharp.csv,0.58,0.86,0.64,0.48,0.74,0.56,0.88,0.42,0.35,0.48,0.44,0.71,0.54,0.52,0.47,0.48,0.61,0.48,0.72
unladen-swallow.csv,1.0,0.6,0.41,0.71,0.51,0.89,0.54,0.83,0.79,0.65,0.67,0.66,0.81,0.75,0.0,0.92,0.41,0.94,0.67
wishmaster.csv,0.96,0.93,0.98,0.89,0.96,1.0,0.0,0.92,0.67,0.75,0.99,0.62,0.88,0.97,0.8,0.0,0.8,0.91,0.0
