,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.36,0.39,0.36,0.38,0.39,0.43,0.39,0.47,0.34,0.34,0.34
gstreamer.csv,0.5,0.46,0.43,0.51,0.39,0.52,0.43,0.44,0.48,0.45,0.47
ktc.csv,0.5,0.51,0.97,0.86,0.61,0.88,0.89,0.81,0.67,0.98,0.59
mbse.csv,0.52,0.55,0.81,0.62,0.52,0.69,0.57,0.53,0.44,0.53,0.56
nebuladevice.csv,0.94,0.97,0.94,0.93,0.83,0.83,0.91,0.83,0.93,0.93,0.9
neoengine.csv,0.53,0.59,0.36,0.78,0.65,0.76,0.4,0.53,0.61,0.39,0.51
openmalaria.csv,0.37,0.39,0.36,0.5,0.37,0.45,0.34,0.46,0.34,0.36,0.4
rtrt-on-gpu.csv,0.7,0.61,0.44,0.95,0.6,0.9,0.56,0.72,0.76,0.61,0.75
salasaga.csv,0.42,0.54,0.39,0.44,0.55,0.42,0.47,0.89,0.36,0.51,0.45
skia.csv,0.74,0.97,0.44,0.94,0.95,0.67,0.77,0.48,0.93,0.5,0.67
xemeiah.csv,0.52,0.43,0.55,0.75,0.59,0.54,0.46,0.62,0.5,0.59,0.54
