,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.6,0.53,0.4,0.65,0.56,0.19,1.0,0.3,0.38,0.7,0.52
gstreamer.csv,0.59,0.57,0.43,0.65,0.55,0.24,0.76,0.33,0.35,0.98,0.44
ktc.csv,0.96,0.55,0.32,0.32,0.5,0.33,0.28,0.2,0.33,0.29,0.36
mbse.csv,0.6,0.61,0.95,0.47,0.6,0.52,0.67,0.35,0.28,0.56,0.44
nebuladevice.csv,0.11,0.26,0.17,0.11,0.16,0.12,0.19,0.06,1.0,0.1,0.3
neoengine.csv,0.58,0.98,0.39,0.35,0.57,0.15,0.71,0.26,0.19,0.73,0.41
openmalaria.csv,0.66,0.57,0.41,0.98,0.53,0.19,0.79,0.33,0.34,0.69,0.54
rtrt-on-gpu.csv,0.52,0.52,0.4,0.23,0.56,1.0,0.64,0.24,0.22,0.5,0.3
salasaga.csv,0.5,0.44,0.38,0.55,0.5,0.27,0.84,0.98,0.27,0.56,0.48
skia.csv,0.51,0.32,0.37,0.13,0.28,0.15,0.41,0.31,0.34,0.57,0.95
xemeiah.csv,0.6,0.57,0.44,0.42,0.99,0.26,0.62,0.37,0.33,0.51,0.51
