,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.82,0.31,0.85,0.22,0.93,0.15,0.0,0.56,0.59,0.73
clamav.csv,0.78,0.35,0.71,0.19,0.88,0.13,0.0,0.67,0.56,0.51
dvd-create.csv,0.75,0.26,0.68,0.23,0.95,0.23,0.0,0.45,0.48,0.45
gbif-indexingtoolkit.csv,0.86,0.75,0.75,0.24,0.0,0.29,0.0,0.29,0.75,0.8
go.csv,0.78,0.26,0.86,0.32,0.96,0.17,0.0,0.46,0.5,0.59
kwave.csv,0.78,0.24,0.64,0.37,0.81,0.2,0.75,0.4,0.58,0.43
libarchive.csv,0.77,0.32,0.74,0.26,0.84,0.17,0.21,0.58,0.47,0.63
liferea.csv,0.88,0.4,0.8,0.23,0.82,0.17,0.29,0.58,0.54,0.53
linux-ntfs.csv,0.75,0.33,0.59,0.2,0.87,0.21,0.19,0.41,0.63,0.57
mpgravity.csv,0.8,0.24,0.82,0.22,0.82,0.16,0.47,0.44,0.46,0.49
