,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.0,0.35,0.03,0.32,0.17,0.03,0.21,0.14,0.2,0.48,0.34
ivef-sdk.csv,0.69,0.5,0.0,0.79,0.31,0.15,0.58,0.27,0.5,0.76,0.24
jaolt.csv,0.41,0.48,0.07,0.53,0.0,0.03,0.3,0.18,0.45,0.36,0.34
jmule.csv,0.5,0.48,0.07,0.58,0.52,0.79,0.53,0.27,0.59,0.48,0.03
jstock.csv,0.12,0.18,0.0,0.32,0.17,0.15,0.0,0.09,0.01,0.12,0.03
lphant.csv,0.53,0.57,0.23,0.55,0.55,0.0,0.44,0.36,0.55,0.24,0.48
novembre.csv,0.09,0.02,0.03,0.08,0.21,0.36,0.28,0.11,0.35,0.12,0.03
oorexx.csv,0.53,0.78,0.2,0.82,0.69,0.7,0.6,0.57,0.31,0.16,0.55
pi-qmc.csv,0.41,0.68,0.17,0.45,0.62,0.58,0.7,0.02,0.53,0.6,0.59
qedo.csv,0.12,0.02,0.07,0.03,0.03,0.18,0.12,0.05,0.0,0.12,0.07
yaprm.csv,0.28,0.38,0.37,0.0,0.24,0.33,0.47,0.16,0.2,0.4,0.55
