,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,1.0,0.27,0.07,0.46,0.19,0.32,0.23,0.32,0.09,0.36,0.33
ivef-sdk.csv,0.88,0.73,1.0,0.89,0.34,0.18,0.08,0.73,0.82,0.89,0.12
jaolt.csv,0.51,0.73,0.04,0.54,0.97,0.41,0.31,0.41,0.32,0.42,0.42
jmule.csv,0.47,0.53,0.1,0.49,0.73,0.82,0.85,0.45,0.59,0.39,1.0
jstock.csv,0.14,0.2,0.0,0.22,0.1,0.27,1.0,0.23,0.0,0.33,0.17
lphant.csv,0.67,0.6,0.57,0.68,0.6,1.0,0.62,0.68,0.09,0.42,0.67
novembre.csv,0.09,0.93,0.04,0.27,0.27,0.27,0.23,0.27,0.09,0.25,0.12
oorexx.csv,0.7,0.8,0.15,0.89,0.64,0.59,0.69,0.77,0.68,1.0,0.67
pi-qmc.csv,0.6,0.6,0.13,0.3,0.71,0.82,0.62,1.0,0.64,0.58,0.75
qedo.csv,0.02,0.0,0.0,0.03,0.08,0.0,0.0,0.09,0.91,0.25,0.08
yaprm.csv,0.42,0.47,0.43,0.95,0.37,0.23,0.54,0.5,0.18,0.58,0.33
