,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,1.0,0.31,0.09,0.49,0.22,0.37,0.27,0.37,0.11,0.38,0.37
ivef-sdk.csv,0.64,0.67,1.0,0.54,0.38,0.21,0.1,0.73,0.73,0.58,0.14
jaolt.csv,0.52,0.68,0.05,0.52,0.98,0.46,0.35,0.46,0.35,0.45,0.45
jmule.csv,0.48,0.53,0.12,0.47,0.66,0.52,0.73,0.49,0.54,0.41,0.99
jstock.csv,0.17,0.24,0.0,0.25,0.12,0.31,1.0,0.27,0.0,0.38,0.2
lphant.csv,0.62,0.56,0.6,0.62,0.56,1.0,0.61,0.67,0.11,0.46,0.63
novembre.csv,0.11,0.94,0.05,0.31,0.31,0.31,0.27,0.31,0.11,0.29,0.15
oorexx.csv,0.64,0.52,0.18,0.5,0.53,0.49,0.6,0.66,0.68,0.96,0.61
pi-qmc.csv,0.6,0.51,0.16,0.33,0.6,0.69,0.51,1.0,0.6,0.53,0.64
qedo.csv,0.02,0.0,0.0,0.04,0.1,0.0,0.0,0.11,0.93,0.29,0.1
yaprm.csv,0.46,0.49,0.46,0.96,0.41,0.26,0.54,0.54,0.21,0.58,0.35
