,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.0,0.81,0.93,0.63,0.83,0.68,0.8,0.7,0.93,0.8,0.75
ivef-sdk.csv,0.7,0.57,0.0,0.8,0.73,0.83,1.09,0.38,0.53,0.77,0.91
jaolt.csv,0.64,0.54,0.96,0.7,0.03,0.59,0.76,0.62,0.82,0.69,0.68
jmule.csv,0.73,0.67,0.9,0.77,0.59,0.81,0.56,0.61,0.71,0.78,0.03
jstock.csv,0.87,0.82,1.0,0.85,0.92,0.74,0.0,0.78,1.0,0.68,0.83
lphant.csv,0.62,0.7,0.49,0.64,0.68,0.0,0.59,0.48,1.06,0.63,0.59
novembre.csv,0.91,0.07,0.96,0.73,0.75,0.81,0.82,0.74,0.97,0.76,0.88
oorexx.csv,0.61,0.8,0.87,0.82,0.78,0.81,0.68,0.61,0.44,0.16,0.64
pi-qmc.csv,0.57,0.78,0.88,0.83,0.68,0.6,0.8,0.02,0.64,0.73,0.64
qedo.csv,0.98,1.0,1.0,0.97,0.92,1.02,1.01,0.91,0.09,0.76,0.92
yaprm.csv,0.65,0.65,0.68,0.05,0.67,0.84,0.66,0.53,0.84,0.58,0.87
