,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.78,0.34,0.17,0.17,0.7,0.18,0.34,0.42,0.97,0.27,0.71,0.13,0.09,0.18,0.37,0.44,0.29,0.76
encog-cs.csv,0.92,0.3,0.57,0.25,0.44,0.15,1.0,0.46,0.67,0.37,0.67,0.29,0.06,0.24,0.39,0.56,0.17,0.59
geochat.csv,0.89,0.23,0.6,0.28,0.61,0.2,0.57,0.51,0.88,0.34,0.8,0.31,0.22,0.26,0.47,0.56,1.0,0.88
ibatisdb.csv,0.77,0.44,0.57,0.22,0.53,0.24,0.5,0.53,1.0,0.21,0.69,0.97,0.0,0.25,0.41,0.59,0.27,0.86
inkscape.csv,0.97,0.29,1.0,0.35,0.53,0.15,0.37,0.66,1.0,0.25,0.81,0.2,0.11,0.33,0.38,0.38,0.56,0.95
jam-daq.csv,0.93,0.59,0.33,0.28,0.67,0.25,0.26,1.0,1.0,0.29,0.48,0.31,1.0,0.28,0.42,0.6,0.39,0.95
jhotdraw.csv,0.86,0.31,0.25,0.2,0.47,0.98,0.5,0.5,0.61,0.38,0.44,0.33,0.07,0.13,0.42,0.62,0.18,0.4
ninject.csv,1.0,0.31,0.0,0.08,0.0,0.2,0.43,0.33,0.89,0.4,0.84,0.28,1.0,0.17,0.52,0.0,0.14,0.79
ofbiz.csv,0.91,0.45,0.64,0.35,0.54,0.23,0.42,0.61,1.0,0.25,1.0,0.27,0.13,0.35,0.47,0.67,0.29,0.94
oorexx.csv,0.95,0.45,0.62,0.33,0.58,0.24,0.43,0.52,0.7,0.25,0.75,0.35,0.15,0.32,0.43,0.92,0.26,0.85
opentibia.csv,1.0,0.37,0.61,0.26,0.56,0.23,0.45,0.56,0.7,0.36,0.74,0.39,0.21,0.26,0.36,0.6,0.26,0.82
projectts.csv,0.89,0.4,0.5,0.21,1.0,0.19,0.37,0.48,0.69,0.48,0.67,0.17,0.06,0.2,0.45,0.62,0.21,0.72
retromenu.csv,1.0,1.0,0.57,0.38,0.0,0.2,0.48,0.64,0.8,0.5,0.85,0.44,0.67,0.39,0.39,0.7,0.29,1.0
roolo.csv,0.9,0.43,0.62,0.05,0.0,0.23,0.28,0.59,0.71,1.0,0.65,0.17,0.09,0.05,0.36,0.53,0.17,0.48
tango-cs.csv,0.8,0.52,0.53,0.32,0.71,0.18,0.6,0.56,0.74,0.46,0.77,0.18,0.33,0.32,0.98,0.58,0.27,0.56
trinitycore.csv,0.88,0.25,0.5,0.72,0.62,0.2,0.33,0.49,0.65,0.31,0.64,0.08,0.1,1.0,0.39,0.61,0.2,0.56
uface.csv,0.88,0.34,0.58,0.26,0.56,0.19,0.43,0.48,0.9,0.27,0.73,0.35,0.1,0.26,0.42,0.59,0.25,1.0
uwom-server.csv,0.94,0.67,0.5,1.0,0.5,0.22,0.38,0.51,0.73,0.53,0.7,0.15,0.08,0.96,0.4,0.67,0.2,0.63
