,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.65,0.22,0.14,0.24,0.92,0.76,0.38,0.55,0.58,0.78,0.5,0.14,0.72,0.53,0.71,0.84,0.16,0.64,1.0,0.92
buddata-ebxml-registry.csv,0.31,0.12,0.07,0.25,0.81,0.67,0.26,0.32,0.41,0.43,0.51,0.1,0.75,0.32,0.55,0.63,0.04,0.47,1.0,0.76
cornerstone.csv,0.52,0.26,0.21,0.35,0.92,0.8,0.22,0.51,0.6,1.0,0.73,0.09,0.76,0.47,0.72,0.77,0.2,1.0,1.0,1.0
emeraldemu.csv,0.56,0.22,0.09,0.16,0.89,0.76,0.5,0.59,0.66,0.62,0.55,0.11,0.67,0.36,0.76,0.78,0.12,0.67,0.91,0.84
jahshakafx.csv,0.58,0.25,0.11,0.23,0.94,0.75,0.44,0.45,0.55,0.75,0.57,0.11,0.8,0.42,0.75,0.75,0.08,0.73,1.0,0.87
jaolt.csv,0.47,0.2,0.09,0.18,0.89,0.76,0.33,0.51,0.51,0.89,0.63,0.09,0.78,0.28,0.64,0.66,0.06,0.57,0.92,0.81
kmess.csv,0.59,0.16,0.08,0.13,0.82,0.56,0.47,0.54,0.5,0.64,0.55,0.08,0.71,0.23,0.7,0.71,0.12,0.49,0.94,0.83
maya-work-in-progress.csv,0.38,0.18,0.1,0.3,0.85,0.73,0.3,0.38,0.44,0.76,0.54,0.12,0.73,0.33,0.63,0.66,0.05,0.57,0.96,0.79
mia.csv,0.66,0.27,0.14,0.26,0.6,0.59,0.35,0.45,0.49,0.67,0.56,0.23,0.9,0.42,0.62,0.59,0.13,0.41,0.8,0.81
mp-rechnungs-und-kundenverwaltung.csv,0.55,0.24,0.11,0.23,0.88,0.79,0.44,0.65,0.59,0.86,0.51,0.09,0.8,0.46,0.75,0.73,0.11,0.64,0.95,0.77
novembre.csv,0.67,0.22,0.1,0.19,0.83,0.73,0.57,0.47,0.43,0.64,0.56,0.03,0.78,0.38,0.82,0.78,0.14,0.65,0.93,0.92
ns-3.csv,0.4,0.21,0.06,0.28,0.79,0.76,0.3,0.24,0.41,0.47,0.68,0.07,0.76,0.42,0.58,0.62,0.03,0.48,0.98,0.78
nullc.csv,0.33,0.12,0.06,0.13,1.0,0.75,0.38,0.41,0.47,0.82,0.54,0.09,0.72,0.26,0.6,0.68,0.11,0.62,0.93,0.91
open-beos.csv,0.51,0.19,0.13,0.19,0.92,0.74,0.34,0.39,0.62,0.82,0.55,0.13,0.79,0.38,0.7,0.79,0.1,0.61,1.0,0.83
pixel-commandos.csv,0.4,0.12,0.07,0.13,1.0,0.73,0.62,0.39,0.65,1.0,0.3,0.08,1.0,0.24,0.67,0.81,0.4,0.64,0.87,0.76
plee-the-bear.csv,0.51,0.21,0.17,0.17,0.83,0.68,0.32,0.28,0.45,0.69,0.57,0.15,0.75,0.36,0.64,0.66,0.04,0.49,0.95,0.8
reaper-ecad.csv,0.68,0.27,0.23,0.33,1.0,0.83,1.0,0.72,0.79,1.0,0.82,0.15,0.84,0.0,0.83,0.91,1.0,1.0,1.0,1.0
unladen-swallow.csv,0.61,0.23,0.14,0.14,0.83,0.82,0.3,0.38,0.52,0.71,0.71,0.1,0.77,0.41,0.75,0.81,0.06,0.58,1.0,0.78
xmoto.csv,0.4,0.17,0.09,0.31,0.89,0.68,0.28,0.42,0.45,0.48,0.52,0.18,0.75,0.39,0.64,0.67,0.05,0.64,0.96,0.82
zxing.csv,0.56,0.21,0.12,0.18,1.0,0.84,0.38,0.62,0.68,0.88,0.55,0.08,0.85,0.37,0.68,0.75,0.12,0.79,1.0,0.91
