,adaptagrams.csv,go.csv,bibedt.csv,moving-pictures.csv,libmesh.csv,glelite.csv,fulguro.csv
adaptagrams.csv,0.98,0.49,0.26,0.33,0.21,0.27,0.0
bibedt.csv,0.71,0.45,0.95,0.52,0.58,0.35,0.23
fulguro.csv,0.3,0.07,0.13,0.07,0.32,0.22,0.9
glelite.csv,0.68,0.78,0.33,0.64,0.53,1.0,0.22
go.csv,0.74,0.99,0.4,0.6,0.49,0.72,0.25
libmesh.csv,0.0,0.0,0.17,0.26,0.92,0.29,0.2
moving-pictures.csv,0.69,0.62,0.39,0.98,0.49,0.76,0.2
