,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.54,0.79,0.41,0.55,0.67,0.49,0.57,0.63,0.53
ctrlr.csv,0.0,0.67,0.94,0.5,0.95,0.91,0.5,0.88,0.67
customsagetv.csv,0.89,0.61,0.51,0.94,0.8,0.95,0.0,0.9,0.47
glas.csv,0.62,0.42,0.43,0.55,0.58,0.55,0.61,0.46,0.34
octave.csv,0.9,0.5,0.35,0.38,0.71,0.62,0.75,0.56,0.38
tango-cs.csv,0.94,0.63,0.86,0.88,0.91,0.88,0.96,0.82,0.56
xcf.csv,0.51,0.36,0.35,0.43,0.54,0.45,0.66,0.5,0.4
xfce.csv,0.71,0.39,0.43,0.54,0.6,0.47,0.64,0.38,0.42
zildo.csv,0.75,0.48,0.94,0.6,0.88,0.67,0.5,0.52,0.64
