,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.13,0.99,0.09,0.78,0.87,0.78,0.37,0.16,0.46,0.75,0.01,0.74,0.93,0.6,0.34,1.0
echongl.csv,0.26,0.98,0.09,0.6,0.78,0.84,0.3,0.18,0.45,0.99,0.02,0.74,0.33,0.61,0.6,0.6
findbugs.csv,0.31,1.0,0.13,0.57,0.67,1.0,0.26,0.24,0.64,0.86,0.0,0.69,0.91,0.62,1.0,0.56
google-web-toolkit.csv,0.39,1.0,0.14,0.61,0.86,0.88,0.38,0.31,0.57,0.8,0.02,0.69,0.0,1.0,0.5,0.59
gwanted.csv,0.16,1.0,0.31,1.0,0.8,0.85,0.42,1.0,0.0,0.9,0.01,0.66,0.96,0.61,0.55,0.82
ivatamasks.csv,0.35,1.0,0.1,0.98,0.85,0.81,0.38,0.19,0.55,0.71,0.01,0.76,0.97,0.56,0.33,0.7
onotoa.csv,0.33,0.97,0.1,0.6,0.84,1.0,0.31,0.18,0.53,0.73,0.02,0.71,0.99,0.56,0.41,0.73
orc.csv,0.04,1.0,1.0,0.43,0.81,0.86,0.21,0.22,0.0,0.0,0.01,0.67,0.86,0.62,0.6,0.68
plato.csv,0.09,0.98,0.07,0.64,0.98,0.81,0.39,0.16,0.45,0.0,0.01,0.73,0.96,0.58,0.37,0.68
proftp.csv,0.1,1.0,0.15,0.91,0.83,1.0,0.36,0.23,1.0,0.8,0.0,0.88,0.84,0.62,0.36,0.8
rodin-b-sharp.csv,0.0,0.98,0.32,0.8,0.86,0.92,1.0,0.12,0.08,0.57,0.0,0.74,0.0,0.51,0.36,0.56
uclmda.csv,0.29,1.0,0.04,1.0,0.75,0.86,0.05,0.05,0.5,0.3,0.0,0.78,1.0,0.46,0.4,0.71
umber.csv,1.0,1.0,0.12,0.77,0.73,0.87,0.53,0.3,0.33,0.72,0.0,0.8,0.0,0.59,0.38,0.61
unicase.csv,0.38,0.99,0.16,0.7,0.89,0.79,0.51,0.2,0.47,0.71,0.01,0.99,0.29,0.56,0.39,0.58
wpdev.csv,0.26,1.0,0.1,0.68,0.85,0.86,0.36,0.19,0.44,0.72,0.01,0.72,0.96,0.6,0.4,0.63
