,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.37,0.94,0.75,0.68,0.81,0.66,0.87,0.57,1.0,0.77,1.0,0.83,0.46,0.81,0.75,0.98
echongl.csv,0.63,0.57,0.31,0.66,0.5,0.64,0.4,0.68,0.83,1.0,1.0,0.7,0.01,0.58,0.43,0.38
findbugs.csv,0.58,0.42,0.25,0.3,0.19,0.26,0.26,0.46,0.23,0.6,0.0,0.29,0.12,0.34,0.93,0.14
google-web-toolkit.csv,0.95,0.3,0.38,0.37,0.43,0.31,0.32,0.54,0.27,0.47,1.0,0.41,0.0,0.98,0.32,0.36
gwanted.csv,0.47,0.21,0.25,0.05,0.76,0.55,0.07,0.82,0.0,0.28,1.0,0.67,0.56,0.79,0.21,0.14
ivatamasks.csv,0.95,0.83,0.81,1.0,0.52,0.81,0.86,0.86,0.8,0.66,1.0,0.75,0.94,0.71,0.57,0.78
onotoa.csv,0.84,0.5,0.62,0.6,0.74,1.0,0.57,0.75,0.87,0.92,1.0,0.67,0.49,0.65,0.54,0.3
orc.csv,0.11,0.09,0.94,0.06,0.81,0.58,0.17,0.14,0.0,0.0,1.0,0.54,0.15,0.75,0.11,0.44
plato.csv,0.26,0.78,0.56,0.7,1.0,0.89,0.9,0.75,1.0,0.0,1.0,0.93,0.62,0.81,0.79,0.83
proftp.csv,0.05,0.36,0.5,0.43,0.24,0.08,0.23,0.25,0.87,0.16,0.0,0.39,0.1,0.32,0.29,0.12
rodin-b-sharp.csv,0.0,0.4,0.38,0.38,0.45,0.31,0.96,0.18,0.03,0.08,0.0,0.09,0.0,0.18,0.18,0.31
uclmda.csv,0.11,0.04,0.12,0.02,0.07,0.34,0.02,0.04,0.2,0.03,0.0,0.11,1.0,0.05,0.14,0.19
umber.csv,1.0,0.48,0.56,0.55,0.19,0.36,0.57,0.36,0.03,0.97,0.0,0.18,0.0,0.23,0.43,0.27
unicase.csv,0.95,0.82,1.0,0.85,0.57,0.51,0.61,0.61,0.7,0.89,1.0,0.99,0.01,0.68,0.86,0.45
wpdev.csv,1.0,1.0,1.0,1.0,0.98,0.91,1.0,0.86,0.97,0.98,1.0,1.0,1.0,0.98,1.0,0.52
