,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.29,0.8,0.33,0.66,0.66,0.35,0.48,0.53,0.21,0.61,0.49,0.55,0.0,0.54,0.3,0.98
echongl.csv,0.56,0.0,0.35,0.29,0.42,0.59,0.41,0.59,0.5,0.99,0.91,0.59,0.01,0.56,0.48,0.4
findbugs.csv,0.57,0.48,0.29,0.33,0.22,0.31,0.29,0.49,0.27,0.62,0.0,0.33,0.14,0.38,0.94,0.17
google-web-toolkit.csv,0.8,0.35,0.42,0.39,0.46,0.35,0.36,0.57,0.31,0.5,0.86,0.43,0.0,0.98,0.36,0.38
gwanted.csv,0.34,0.25,0.29,0.06,0.0,0.55,0.09,0.85,0.0,0.33,0.52,0.31,0.49,0.58,0.25,0.17
ivatamasks.csv,0.73,0.86,0.45,0.99,0.52,0.38,0.53,0.57,0.7,0.53,0.47,0.63,0.69,0.49,0.47,0.64
onotoa.csv,0.7,0.0,0.55,0.38,0.53,1.0,0.47,0.59,0.69,0.37,0.86,0.52,0.53,0.52,0.53,0.34
orc.csv,0.12,0.11,0.95,0.07,0.0,0.58,0.2,0.17,0.0,0.0,0.75,0.46,0.17,0.6,0.13,0.47
plato.csv,0.19,0.0,0.35,0.46,0.97,0.24,0.52,0.5,0.13,0.0,0.45,0.27,0.53,0.46,0.47,0.58
proftp.csv,0.06,0.41,0.53,0.48,0.28,0.1,0.27,0.29,0.89,0.19,0.0,0.44,0.12,0.36,0.33,0.15
rodin-b-sharp.csv,0.0,0.42,0.43,0.43,0.48,0.36,0.97,0.21,0.04,0.1,0.0,0.11,0.0,0.21,0.21,0.34
uclmda.csv,0.13,0.05,0.14,0.02,0.09,0.38,0.02,0.05,0.24,0.04,0.0,0.13,1.0,0.06,0.17,0.22
umber.csv,1.0,0.54,0.55,0.57,0.22,0.4,0.59,0.41,0.04,0.0,0.0,0.21,0.0,0.27,0.45,0.31
unicase.csv,0.79,0.73,0.78,0.55,0.58,0.48,0.62,0.58,0.58,0.2,0.73,0.99,0.01,0.52,0.46,0.43
wpdev.csv,0.0,1.0,0.0,0.0,0.4,0.66,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.36,0.27,0.5
