,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,1.06,0.5,0.93,0.51,0.65,0.94,0.84,0.74,0.95,0.7,0.84,0.79,1.14,0.79,0.94,0.02
echongl.csv,0.72,1.09,0.78,0.97,0.9,0.67,0.8,0.7,0.83,0.03,0.33,0.71,1.05,0.67,0.6,0.78
findbugs.csv,0.62,0.58,0.77,0.85,0.95,0.74,0.85,0.61,0.77,0.48,1.03,0.79,0.94,0.72,0.07,0.88
google-web-toolkit.csv,0.51,0.7,0.68,0.8,0.68,0.71,0.74,0.53,0.75,0.61,0.44,0.76,1.12,0.02,0.71,0.79
gwanted.csv,0.99,0.79,0.75,0.95,1.03,0.62,0.93,0.18,1.0,0.72,0.82,0.96,0.8,0.75,0.79,0.86
ivatamasks.csv,0.62,0.17,0.86,0.04,0.69,0.9,0.8,0.78,0.58,0.79,0.85,0.67,0.67,0.83,0.85,0.66
onotoa.csv,0.6,1.12,0.73,0.94,0.79,0.0,0.85,0.73,0.64,0.9,0.44,0.8,0.54,0.8,0.67,0.73
orc.csv,1.21,0.91,0.06,0.95,1.02,0.61,0.9,0.86,1.0,1.0,0.62,0.84,1.08,0.7,0.89,0.68
plato.csv,1.17,1.02,0.96,0.86,0.12,0.94,0.82,0.83,0.97,1.0,0.86,0.93,0.77,0.85,0.85,0.76
proftp.csv,0.96,0.64,0.59,0.58,0.8,0.92,0.8,0.77,0.13,0.84,1.05,0.62,1.03,0.73,0.78,0.88
rodin-b-sharp.csv,1.0,0.78,0.63,0.65,0.66,0.7,0.04,0.87,1.01,0.93,1.02,0.91,1.0,0.86,0.85,0.83
uclmda.csv,0.9,0.96,0.94,0.98,0.94,0.71,1.0,0.98,0.82,0.99,1.0,0.9,0.0,0.95,0.87,0.83
umber.csv,0.0,0.52,0.65,0.56,0.89,0.68,0.52,0.66,0.97,1.0,1.0,0.83,1.01,0.8,0.72,0.8
unicase.csv,0.53,0.53,0.59,0.78,0.57,0.79,0.51,0.64,0.71,0.95,0.65,0.03,1.29,0.8,0.86,0.82
wpdev.csv,1.0,0.0,1.0,1.0,0.88,0.69,1.0,0.77,1.0,1.0,1.0,1.0,1.0,0.91,0.93,0.74
