,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.82,0.6,0.52,0.74,0.97,0.02,0.17,0.46,0.59,0.62
fritzing.csv,0.84,0.57,0.71,0.56,0.96,0.01,1.0,0.38,0.53,0.67
jlinalg.csv,0.98,0.47,0.46,0.45,0.97,0.01,0.12,0.32,0.5,0.55
knowledge.csv,0.95,0.43,0.54,0.42,1.0,0.01,0.17,0.29,0.52,0.55
massiv.csv,1.0,0.68,0.63,0.0,0.0,0.2,0.0,0.5,0.0,0.0
multitude.csv,0.78,0.44,0.53,0.42,0.96,0.01,0.17,0.39,0.43,0.74
playerstage.csv,0.96,0.46,0.59,0.68,0.96,0.01,0.25,0.5,0.5,0.64
quarkplusplus.csv,0.84,0.42,0.49,0.57,1.0,0.02,0.25,0.33,0.62,0.63
rtrt-on-gpu.csv,1.0,0.29,0.37,0.28,0.84,0.0,0.44,0.0,0.13,0.42
superwaba.csv,0.9,0.65,0.62,0.66,0.97,0.01,0.17,0.38,0.69,0.67
