,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,98.5,293.5,98.5,538.0,97.5,3247.0,269.5,260.5,96.5,97.5
fritzing.csv,98.5,96.5,98.5,471.5,97.5,12004.0,16.5,352.0,385.0,285.5
jlinalg.csv,99.0,195.0,98.5,1757.0,97.5,11316.0,787.5,551.0,194.5,196.0
knowledge.csv,99.0,391.0,98.5,1561.5,97.5,16754.5,728.5,454.5,282.5,196.0
massiv.csv,92.5,80.5,98.5,0.0,0.0,461.5,0.0,85.5,0.0,0.0
multitude.csv,99.0,96.5,98.5,1758.0,97.5,15124.5,1725.5,458.5,585.5,196.0
playerstage.csv,98.5,195.5,98.5,548.0,97.5,8317.5,248.5,172.0,282.0,97.5
quarkplusplus.csv,99.0,392.5,98.5,463.5,97.5,8508.5,132.5,359.0,96.5,97.5
rtrt-on-gpu.csv,81.5,391.5,275.5,1370.0,96.5,11194.5,391.0,343.5,831.5,190.0
superwaba.csv,92.5,195.0,98.5,534.0,97.5,8590.5,310.5,456.5,88.5,97.5
