,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.78,0.97,0.68,0.8,0.8,0.32,0.62,0.88,0.81,0.87,0.9,0.77,0.82,0.79
carabiner.csv,0.3,0.26,0.39,0.6,0.45,1.0,0.86,0.72,0.59,0.54,0.45,0.37,0.38,0.47
elvishrayrenderer.csv,0.87,0.56,0.86,0.6,0.68,0.55,0.95,0.47,0.67,0.87,0.41,0.6,1.0,0.42
fleet-simulator.csv,0.91,0.49,0.75,0.92,0.72,0.91,1.0,0.69,1.0,0.63,0.66,0.74,0.91,0.58
gmerlin.csv,0.22,0.1,0.21,0.12,0.22,0.05,0.16,0.88,0.13,0.15,0.48,0.29,0.24,0.0
gnome-jabber.csv,0.87,0.95,0.75,0.76,0.78,0.91,1.0,0.97,0.74,0.59,0.76,0.74,0.76,1.0
ipfilter.csv,0.91,0.28,0.75,0.8,0.88,0.95,0.82,0.69,0.74,1.0,1.0,0.77,0.91,0.89
irplus.csv,0.74,0.51,0.75,0.88,0.38,0.18,0.6,0.75,0.43,0.59,0.52,0.66,0.76,0.63
mevenide.csv,0.87,0.67,0.64,0.48,0.57,0.36,0.78,0.66,0.67,0.61,0.93,0.6,0.65,0.53
moving-pictures.csv,0.48,0.69,0.93,0.56,0.7,0.36,0.73,0.53,0.33,0.46,0.69,0.66,0.41,0.58
opensim4opencog.csv,0.91,0.0,0.07,0.48,0.38,0.09,0.1,0.22,0.15,0.02,0.55,0.09,0.09,0.05
rockbox.csv,0.48,0.33,0.5,0.2,0.12,0.45,0.22,0.44,0.33,0.35,0.21,0.34,0.44,0.89
ta3d.csv,0.74,0.67,0.68,0.68,0.75,0.86,0.46,0.81,0.8,0.65,0.93,1.0,0.82,0.79
xcmetadataservicestoolkit.csv,0.7,0.26,0.61,0.56,0.95,0.73,1.0,0.62,0.8,0.89,0.38,0.77,0.5,0.42
