,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0
carabiner.csv,23.0,0.0,0.0,9.0,0.0,0.0,3.0,5.0,1.0,1.0,4.0,0.0,1.0,0.0
elvishrayrenderer.csv,9.0,1.0,0.0,2.0,1.0,5.0,3.0,8.0,2.0,0.0,3.0,2.0,0.0,8.0
fleet-simulator.csv,13.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0
gmerlin.csv,8.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
gnome-jabber.csv,12.0,3.0,0.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,13.0
ipfilter.csv,8.0,0.0,0.0,0.0,0.0,8.0,3.0,8.0,6.0,0.0,0.0,3.0,0.0,11.0
irplus.csv,5.0,1.0,0.0,0.0,1.0,24.0,3.0,7.0,2.0,0.0,0.0,3.0,0.0,16.0
mevenide.csv,11.0,0.0,0.0,0.0,0.0,7.0,3.0,11.0,2.0,0.0,0.0,1.0,0.0,9.0
moving-pictures.csv,11.0,1.0,0.0,0.0,0.0,20.0,3.0,8.0,6.0,0.0,0.0,3.0,0.0,15.0
opensim4opencog.csv,0.0,73.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
rockbox.csv,2.0,0.0,3.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
ta3d.csv,19.0,1.0,9.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
xcmetadataservicestoolkit.csv,9.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0
