,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.15,0.0,0.05,0.05,0.15,0.12,0.11,0.15,0.02,0.47,0.33,0.06
freedom-erp.csv,0.0,0.0,0.1,0.0,0.03,0.0,0.01,0.01,0.0,0.03,0.0,0.06
javaprofiler.csv,0.71,0.76,0.55,0.35,0.74,0.75,0.54,0.6,0.33,0.8,0.65,0.0
jmoney.csv,0.0,0.06,0.1,0.11,0.23,0.0,0.11,0.2,0.07,0.4,0.14,0.08
jsidplay2.csv,0.46,0.37,0.0,0.43,0.75,0.17,0.97,0.89,0.7,0.67,0.23,0.61
reaper3d.csv,0.34,0.0,0.6,0.82,0.12,0.0,0.0,0.0,0.0,0.43,0.0,0.67
servicestack.csv,0.66,0.39,0.4,0.46,0.75,0.57,0.31,0.3,0.0,0.63,0.19,0.25
springside.csv,0.41,0.51,0.2,0.0,0.68,0.47,0.54,0.55,0.2,0.6,0.19,0.64
swtfox.csv,0.07,0.16,0.5,0.65,0.0,0.38,0.31,0.32,0.33,0.23,0.4,0.42
synecdoche.csv,0.1,0.25,0.2,0.09,0.26,0.1,0.51,0.24,0.17,0.2,0.0,0.56
tmva.csv,0.44,0.65,0.15,0.36,0.72,0.02,0.46,0.47,0.37,0.6,0.4,0.61
wsmt.csv,0.27,0.18,0.35,0.33,0.09,0.17,0.0,0.14,0.3,0.0,0.23,0.33
