,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.47,0.96,0.42,0.11,0.31,0.29,0.31,0.3,0.0,0.28,0.31,0.25
freedom-erp.csv,0.4,0.0,0.39,0.0,0.0,0.0,0.98,0.0,0.11,0.0,0.0,0.0
javaprofiler.csv,0.49,0.48,0.61,0.53,0.48,0.74,0.69,0.14,0.55,0.56,0.37,0.99
jmoney.csv,0.97,0.24,0.48,0.24,0.14,0.11,0.68,0.07,0.33,0.32,0.25,0.1
jsidplay2.csv,0.63,0.26,1.0,0.46,0.4,0.47,0.65,0.15,0.42,0.59,0.47,0.53
reaper3d.csv,0.16,0.0,0.44,0.41,0.32,0.0,0.0,0.93,0.0,0.63,0.0,0.64
servicestack.csv,0.43,0.41,0.72,0.38,0.53,0.67,0.53,0.19,0.97,0.46,0.39,0.63
springside.csv,0.49,0.39,0.76,1.0,0.38,0.4,0.79,0.15,0.32,0.34,0.32,0.31
swtfox.csv,0.08,0.25,0.32,0.32,0.99,0.59,0.1,0.05,0.17,0.21,0.44,0.65
synecdoche.csv,0.22,0.33,0.58,0.29,0.35,0.49,0.6,0.06,0.44,0.33,0.98,0.54
tmva.csv,0.59,0.38,0.68,0.51,0.37,0.98,0.64,0.2,0.42,0.37,0.39,0.52
wsmt.csv,0.06,0.33,0.22,0.18,0.33,0.19,0.0,0.0,0.28,0.99,0.23,0.49
