,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.57,1.0,0.94,0.38,0.47,0.81,0.7,0.21,0.0,0.36,0.36,0.85
freedom-erp.csv,1.0,0.0,0.88,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0
javaprofiler.csv,0.36,0.35,0.74,0.47,0.37,0.73,0.65,0.08,0.44,0.49,0.32,1.0
jmoney.csv,1.0,0.57,0.9,0.42,0.21,1.0,0.87,0.05,0.57,0.43,0.45,0.57
jsidplay2.csv,0.49,0.27,1.0,0.4,0.31,0.84,0.54,0.08,0.29,0.53,0.55,0.61
reaper3d.csv,0.18,0.0,0.62,0.29,0.53,0.0,0.0,1.0,0.0,0.63,0.0,0.66
servicestack.csv,0.32,0.38,0.83,0.33,0.4,0.75,0.66,0.12,1.0,0.46,0.53,0.81
springside.csv,0.41,0.33,0.91,1.0,0.31,0.63,0.7,0.08,0.36,0.38,0.47,0.44
swtfox.csv,0.25,0.38,0.57,0.25,1.0,0.77,0.21,0.03,0.17,0.42,0.43,0.74
synecdoche.csv,0.43,0.38,0.87,0.53,0.41,0.9,0.61,0.04,0.47,0.57,1.0,0.64
tmva.csv,0.47,0.3,0.91,0.45,0.3,0.99,0.66,0.11,0.35,0.4,0.39,0.61
wsmt.csv,0.08,0.44,0.53,0.2,0.6,0.66,0.0,0.0,0.26,1.0,0.33,0.7
