,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.73,0.53,0.5,0.58,0.53,0.33,0.46,0.27,0.71,0.03,0.43,0.52
gdis.csv,0.65,0.47,0.52,0.61,0.7,0.24,0.43,0.24,0.86,0.0,0.45,0.54
kml.csv,0.69,0.44,0.35,0.6,0.77,0.19,0.5,0.24,0.74,0.05,0.53,0.59
ppcboot.csv,0.75,0.5,0.43,0.63,0.73,0.21,0.51,0.27,0.85,0.05,0.5,0.58
repositorium.csv,0.2,0.04,0.01,0.22,0.21,0.43,0.06,0.1,0.36,0.06,0.47,0.36
rsyslog.csv,0.79,0.43,0.44,0.5,0.52,0.23,0.42,0.3,0.78,0.06,0.55,0.59
simplewebservices.csv,0.66,0.41,0.32,0.68,0.63,0.16,0.42,0.29,0.9,0.06,0.63,0.63
ultimairis.csv,0.72,0.44,0.4,0.69,0.65,0.25,0.65,0.26,0.88,0.0,0.31,0.59
wow-qrsk.csv,0.14,0.42,0.57,0.4,0.33,0.0,0.04,0.18,0.1,0.06,0.05,0.31
wxstudio.csv,0.57,0.19,0.13,0.47,0.34,0.3,0.3,0.0,0.48,0.0,0.71,0.02
xbg.csv,0.55,0.04,0.15,0.63,0.34,0.17,0.5,0.47,0.41,0.0,0.24,0.5
xqilla.csv,0.07,0.07,0.21,0.15,0.16,0.12,0.17,0.0,0.35,0.46,0.38,0.22
