,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,1.0,0.29,0.21,0.68,0.81,0.46,0.65,0.32,0.09,0.19,0.2,0.72
crisscross.csv,0.99,0.23,0.41,0.7,0.71,0.28,0.67,0.35,0.09,0.21,0.24,0.74
gabel.csv,1.0,0.4,0.24,0.9,1.0,0.57,0.83,0.4,0.25,0.14,0.21,0.8
jguard.csv,0.98,0.23,0.31,0.72,0.71,0.19,0.64,0.48,0.13,0.21,0.25,0.86
jitterbit.csv,1.0,0.5,0.2,0.77,0.83,0.58,0.61,0.42,0.09,0.11,0.15,0.74
mycila.csv,0.98,0.17,0.17,0.62,0.74,0.15,0.69,0.45,0.1,0.22,0.4,0.77
nova.csv,0.98,0.59,0.18,0.68,0.69,0.22,0.67,0.47,0.12,0.16,0.14,0.8
ontomorphtab.csv,1.0,0.29,0.23,0.88,0.67,0.28,0.67,0.38,0.13,0.11,0.24,0.78
tmva.csv,1.0,0.3,0.17,0.62,0.73,0.22,0.68,0.33,0.07,0.16,0.18,0.88
vienna-add-in.csv,0.98,0.32,0.19,0.62,0.67,0.29,0.82,0.33,0.0,0.24,0.18,0.77
vrjuggler.csv,1.0,0.0,0.15,0.67,0.67,0.48,0.64,0.29,0.0,0.35,0.11,0.66
wpdev.csv,1.0,0.24,0.17,0.66,0.66,0.28,0.66,0.34,0.08,0.2,0.19,0.73
