,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.88,0.62,0.76,0.71,0.8,0.73,0.92,0.67,1.0,0.44,1.0,0.63
crisscross.csv,0.96,1.0,0.71,0.94,0.39,0.92,0.9,0.97,0.62,1.0,1.0,0.99
gabel.csv,0.43,0.31,0.57,0.51,0.14,0.39,0.29,0.2,0.88,0.06,0.6,0.44
jguard.csv,0.32,1.0,0.19,0.6,0.91,0.38,0.43,0.53,0.88,0.19,0.7,0.49
jitterbit.csv,0.73,0.08,0.43,0.57,0.11,0.7,0.53,0.43,1.0,0.12,0.7,0.58
mycila.csv,0.9,0.46,0.95,0.46,0.95,0.23,0.7,0.73,1.0,1.0,0.6,0.66
nova.csv,0.59,0.77,0.67,0.66,0.77,0.63,0.45,0.6,0.88,0.31,0.4,0.67
ontomorphtab.csv,0.67,0.69,0.57,0.66,0.75,0.63,0.67,0.63,0.88,0.19,1.0,0.67
tmva.csv,0.34,0.62,1.0,1.0,0.86,0.51,0.96,0.47,0.75,0.25,0.9,0.8
vienna-add-in.csv,0.61,0.77,0.81,0.69,0.45,0.51,0.72,0.3,0.0,0.56,0.5,0.65
vrjuggler.csv,0.33,0.0,0.52,0.4,0.14,0.26,0.3,0.13,0.0,0.75,0.1,0.14
wpdev.csv,0.99,0.69,0.57,1.0,0.48,0.98,0.94,0.97,1.0,0.75,1.0,1.0
