,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.12,0.6,0.64,0.64,0.49,0.42,1.0,0.84,0.89,0.75,0.95,0.76
crisscross.csv,1.0,1.0,0.36,0.67,0.73,0.91,0.91,0.95,0.68,1.0,0.76,0.98
gabel.csv,0.57,0.71,0.58,0.49,0.86,0.62,0.72,0.82,0.26,0.94,0.68,0.64
jguard.csv,0.84,1.0,0.81,0.55,0.89,0.88,0.75,0.56,0.52,0.83,0.58,0.55
jitterbit.csv,0.27,0.92,0.67,0.52,0.89,0.36,0.83,0.65,0.89,0.92,0.98,0.7
mycila.csv,1.01,0.87,0.96,0.72,0.83,0.91,0.7,0.55,0.77,0.98,0.45,0.63
nova.csv,1.08,0.28,0.7,0.63,0.86,0.9,0.71,0.54,0.55,0.83,0.83,0.57
ontomorphtab.csv,0.33,0.59,0.59,0.37,0.92,0.7,0.73,0.66,0.54,0.91,0.76,0.63
tmva.csv,0.66,0.58,1.0,1.0,0.79,0.86,0.93,0.74,0.93,0.83,0.98,0.36
vienna-add-in.csv,1.07,0.53,0.75,0.78,0.78,0.68,0.42,0.77,1.09,0.66,0.74,0.65
vrjuggler.csv,0.67,1.0,0.8,0.69,0.88,0.75,0.78,0.88,1.01,0.45,0.92,0.88
wpdev.csv,0.01,0.71,0.71,0.86,0.8,0.96,0.98,1.0,1.0,0.87,1.0,1.0
