,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.74,0.89,0.78,0.72,0.73,0.46,0.98,1.0,0.64,0.79,1.0,0.89,0.79
bdbbasic.csv,0.68,0.92,0.94,0.66,0.66,0.58,0.96,0.92,0.35,0.9,0.75,0.52,0.64
echongl.csv,0.63,0.78,0.91,0.65,0.79,0.62,0.83,0.65,0.44,0.23,0.6,0.57,0.65
etherboot.csv,0.87,0.38,1.0,0.95,0.63,1.0,0.96,0.99,0.81,1.0,1.0,1.0,0.9
freebios.csv,0.87,0.79,0.79,0.75,0.73,0.9,0.31,0.98,0.84,0.56,0.61,0.86,0.9
gebr.csv,0.88,1.0,0.89,0.97,0.81,0.94,1.0,0.31,1.0,1.0,0.83,0.94,0.95
gnukeda.csv,0.87,0.69,0.74,0.36,0.83,0.54,0.87,0.58,0.82,0.9,0.65,0.8,0.92
google-gears.csv,0.53,0.75,0.64,0.59,0.68,0.94,1.01,0.53,0.76,0.95,0.88,0.59,0.48
jnode.csv,0.94,0.71,0.31,0.71,1.0,1.0,0.88,0.82,0.85,0.9,0.96,0.95,0.91
openmeetings.csv,0.48,0.18,0.45,0.9,0.61,0.52,0.96,0.61,0.69,0.8,0.49,0.8,0.81
pgui.csv,0.75,0.94,1.0,0.49,0.82,0.77,0.84,0.45,0.77,0.97,0.38,0.88,0.48
tradelink.csv,0.94,0.86,0.79,0.64,0.75,0.58,0.64,0.61,0.5,0.46,0.7,0.46,0.84
wxcrp.csv,0.45,0.94,0.96,0.83,1.0,0.61,0.86,1.0,0.62,0.77,0.71,0.86,0.69
