,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,786.5,197.0,283.5,98.5,99.0,97.5,4282.0,834.5,372.0,197.5,196.0,580.5
bigdata.csv,1014.5,197.5,187.0,98.5,99.0,94.5,168.0,969.0,645.5,197.5,197.0,395.0
calcubetimer.csv,667.0,97.5,384.0,98.5,294.5,97.5,497.5,1266.0,366.0,197.5,211.5,98.5
jas.csv,1013.5,96.5,384.0,434.0,99.0,85.5,3660.0,225.0,273.5,98.5,97.5,467.5
jbpm.csv,317.0,92.5,148.0,38.0,295.0,17.5,0.0,675.0,97.5,182.0,536.5,91.5
jgossipforum.csv,1150.0,98.5,384.0,130.0,196.0,143.0,259.5,52.5,367.0,98.5,29.5,466.5
joustsim.csv,616.0,197.5,384.0,98.5,97.5,97.5,780.5,493.0,463.5,197.5,197.0,395.0
madman.csv,1581.0,295.0,189.0,433.5,393.0,97.5,732.0,917.0,184.0,81.5,98.5,360.0
mule.csv,1237.5,296.0,704.5,189.0,590.5,94.5,356.0,953.0,544.0,197.5,196.0,197.0
nunit.csv,1333.0,93.5,665.5,98.5,99.0,97.5,260.5,388.0,1209.0,98.5,196.0,857.5
piccolo2d.csv,1147.0,98.5,92.5,98.5,99.0,97.5,0.0,949.0,367.0,98.5,223.0,197.0
sblim.csv,153.0,197.5,286.5,98.5,173.0,94.5,453.0,577.5,553.0,183.0,239.0,98.5
