,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.63,0.52,0.76,0.72,0.73,0.03,0.74,0.63,0.59,0.74,0.8,0.68,0.65,0.53
bdbbasic.csv,0.51,0.35,0.57,0.59,0.68,0.51,0.75,0.57,0.16,0.55,0.57,0.59,0.57,0.39
echongl.csv,0.71,0.91,0.88,0.64,0.63,0.91,0.82,0.94,0.59,0.04,0.86,0.52,0.85,0.82
etherboot.csv,0.59,0.52,0.69,0.72,0.05,0.76,0.99,0.59,0.81,0.91,0.61,0.91,0.52,0.7
ffigo.csv,0.64,0.54,1.1,0.59,0.69,0.58,0.75,0.83,0.53,0.71,0.68,0.03,0.56,0.51
freebios.csv,0.65,0.77,0.95,0.8,0.6,0.63,0.04,0.97,0.71,0.74,0.56,0.77,0.79,0.76
gebr.csv,0.79,0.8,0.82,0.52,0.53,0.73,0.91,0.11,0.7,0.94,0.64,0.61,0.56,0.84
gnukeda.csv,0.63,0.52,0.55,0.0,0.76,0.59,0.7,0.51,0.44,0.91,0.58,0.46,0.62,0.63
gstreamer.csv,0.65,0.39,0.91,0.65,0.73,0.58,0.8,0.53,0.61,0.88,0.6,0.5,0.03,0.61
jnode.csv,0.92,1.07,0.12,0.89,0.85,1.0,0.54,0.94,0.88,0.96,0.95,0.96,0.92,0.97
metacosm.csv,0.63,0.46,0.43,0.67,0.68,0.52,0.78,0.7,0.6,0.71,0.63,0.6,0.77,0.04
openmeetings.csv,0.62,0.0,0.95,0.8,0.62,0.55,0.82,0.78,0.7,0.86,0.71,0.62,0.71,0.47
pgui.csv,0.6,0.69,0.7,0.56,0.81,0.72,0.84,0.67,0.79,0.56,0.03,0.81,0.82,0.6
wxcrp.csv,0.06,0.48,0.58,0.8,0.78,0.46,0.96,0.7,0.54,0.81,0.52,0.68,0.7,0.62
