,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,7.0,12.0,112.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0
bdbbasic.csv,2.0,7.0,23.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,7.0,3.0
echongl.csv,0.0,9.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,1.0
etherboot.csv,2.0,21.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0
ffigo.csv,13.0,13.0,411.0,1.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
freebios.csv,6.0,3.0,48.0,2.0,0.0,10.0,0.0,0.0,11.0,1.0,2.0,2.0,2.0,4.0
gebr.csv,24.0,25.0,86.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0
gnukeda.csv,16.0,15.0,38.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
gstreamer.csv,0.0,7.0,44.0,1.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
jnode.csv,8.0,43.0,0.0,1.0,0.0,116.0,0.0,0.0,13.0,0.0,3.0,0.0,2.0,1.0
metacosm.csv,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
openmeetings.csv,3.0,0.0,45.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0
pgui.csv,7.0,31.0,45.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0
wxcrp.csv,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0
