,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.48,0.58,0.35,0.37,0.36,0.98,0.33,0.44,0.47,0.34,0.3,0.39,0.44,0.53
bdbbasic.csv,0.62,0.74,0.68,0.5,0.47,0.66,0.44,0.51,0.87,0.66,0.7,0.49,0.64,0.71
echongl.csv,0.51,0.11,0.22,0.55,0.57,0.41,0.21,0.07,0.66,0.97,0.2,0.65,0.29,0.26
etherboot.csv,0.6,0.64,0.42,0.33,0.96,0.34,0.18,0.62,0.3,0.27,0.65,0.27,0.59,0.46
ffigo.csv,0.5,0.58,0.0,0.55,0.5,0.68,0.38,0.49,0.6,0.53,0.64,0.98,0.61,0.63
freebios.csv,0.53,0.27,0.07,0.45,0.53,0.49,0.97,0.36,0.48,0.3,0.56,0.46,0.4,0.3
gebr.csv,0.53,0.53,0.46,0.57,0.68,0.63,0.42,0.91,0.61,0.29,0.71,0.71,0.68,0.49
gnukeda.csv,0.65,0.75,0.58,1.0,0.54,0.64,0.44,0.59,0.65,0.41,0.6,0.68,0.45,0.69
gstreamer.csv,0.56,0.7,0.22,0.42,0.43,0.66,0.34,0.54,0.68,0.45,0.56,0.64,0.97,0.66
jnode.csv,0.12,0.23,0.9,0.24,0.26,0.0,0.58,0.36,0.19,0.06,0.13,0.11,0.21,0.13
metacosm.csv,0.48,0.6,0.8,0.4,0.44,0.61,0.28,0.36,0.47,0.39,0.47,0.47,0.28,0.97
openmeetings.csv,0.44,1.0,0.07,0.25,0.45,0.54,0.26,0.43,0.37,0.29,0.4,0.5,0.35,0.62
pgui.csv,0.49,0.54,0.36,0.58,0.35,0.34,0.19,0.41,0.25,0.53,0.98,0.29,0.24,0.54
wxcrp.csv,0.95,0.65,0.75,0.25,0.27,0.62,0.05,0.36,0.52,0.34,0.57,0.39,0.35,0.54
