,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.31,0.25,0.33,0.28,0.26,0.0,0.2,0.13,0.1,0.26,0.28,0.18,0.24,0.13
bdbbasic.csv,0.33,0.22,0.51,0.25,0.41,0.4,0.49,0.21,0.0,0.45,0.53,0.2,0.46,0.26
echongl.csv,0.52,0.1,0.33,0.47,0.48,0.75,0.12,0.0,0.53,0.03,0.22,0.41,0.43,0.26
etherboot.csv,0.44,0.37,0.3,0.06,0.0,0.3,0.53,0.47,0.33,0.5,0.54,0.5,0.29,0.42
ffigo.csv,0.39,0.29,0.46,0.38,0.48,0.52,0.37,0.82,0.33,0.55,0.66,0.0,0.41,0.35
freebios.csv,0.44,0.04,0.15,0.59,0.33,0.32,0.0,0.82,0.47,0.05,0.31,0.55,0.49,0.16
gebr.csv,0.76,0.8,0.65,0.25,0.46,0.72,0.76,0.03,0.65,0.92,0.64,0.59,0.51,0.84
gnukeda.csv,0.57,0.5,0.34,0.0,0.67,0.51,0.37,0.26,0.24,0.82,0.41,0.34,0.17,0.61
gstreamer.csv,0.49,0.23,0.41,0.22,0.43,0.51,0.39,0.18,0.57,0.76,0.4,0.34,0.01,0.55
jnode.csv,0.15,0.75,0.0,0.41,0.36,0.0,0.29,0.71,0.27,0.11,0.33,0.32,0.41,0.39
metacosm.csv,0.31,0.06,0.41,0.19,0.33,0.32,0.2,0.05,0.14,0.29,0.25,0.16,0.11,0.0
openmeetings.csv,0.11,0.0,0.14,0.03,0.2,0.26,0.25,0.53,0.16,0.45,0.3,0.32,0.12,0.23
pgui.csv,0.25,0.51,0.15,0.34,0.44,0.16,0.1,0.18,0.06,0.24,0.02,0.32,0.14,0.35
wxcrp.csv,0.0,0.31,0.58,0.03,0.11,0.22,0.04,0.11,0.1,0.42,0.22,0.18,0.09,0.39
