,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.75,0.97,0.39,0.0,0.86,0.47,0.61,0.86,0.35,0.57,0.46,0.75,0.47,0.86,0.93,0.37,0.8
blue-c.csv,0.66,0.48,0.5,0.48,0.89,0.49,0.49,0.41,0.71,0.6,0.42,0.71,0.54,0.39,0.59,0.45,0.49
factor.csv,0.75,0.68,0.96,0.88,0.83,0.75,0.61,0.64,0.71,0.75,0.82,0.62,0.5,0.86,0.8,0.5,0.52
fltk.csv,0.93,0.54,0.56,0.48,0.92,0.56,0.47,0.38,0.86,0.8,0.48,0.88,0.86,0.43,0.61,0.47,0.49
free-evolution.csv,0.53,0.66,0.35,0.75,0.82,0.52,0.54,0.46,0.42,0.35,0.41,0.37,0.42,0.41,0.54,0.33,0.9
icescrum.csv,0.63,0.53,0.47,0.54,0.92,0.48,0.49,0.46,0.45,0.67,0.43,0.71,0.55,0.38,0.59,0.55,0.42
jbasic.csv,0.48,0.42,0.37,0.42,0.65,0.51,0.43,0.56,0.39,0.34,0.42,0.86,0.0,0.4,0.46,0.36,0.46
kvs.csv,0.57,0.71,0.43,0.0,0.58,0.44,0.89,0.5,0.44,0.38,0.75,0.86,0.44,0.47,0.93,0.38,0.79
monetdb.csv,0.75,0.96,0.48,0.67,0.67,0.88,0.61,0.43,0.46,0.75,0.44,0.37,0.57,0.64,0.69,0.37,0.54
phet.csv,0.45,0.97,0.81,0.57,0.59,0.65,0.71,0.67,0.48,0.46,0.72,0.52,0.44,0.83,0.59,0.86,0.7
projecteqemu.csv,0.88,0.58,0.77,0.56,0.77,0.45,0.55,0.47,0.76,0.43,0.4,0.9,0.92,0.45,0.75,0.45,0.8
repositorium.csv,0.42,0.6,0.97,0.67,0.66,0.83,0.67,0.67,0.0,0.86,0.75,0.57,0.53,0.66,0.75,0.93,0.79
smarttag.csv,0.44,0.5,0.37,0.38,0.57,0.61,0.44,0.53,0.9,0.71,0.54,0.62,0.94,0.39,0.53,0.45,0.41
sumatrapdf.csv,0.38,0.43,0.38,0.41,0.63,0.44,0.41,0.4,0.42,0.59,0.38,0.38,0.42,0.39,0.5,0.36,0.4
voms.csv,0.83,0.44,0.52,0.88,0.74,0.6,0.45,0.5,0.78,0.58,0.41,0.8,0.88,0.43,0.76,0.46,0.52
vrjuggler.csv,0.68,0.98,0.6,0.94,0.87,0.85,0.86,0.0,0.66,0.72,0.95,0.5,0.59,0.67,0.95,0.67,0.52
wheat.csv,0.38,0.67,0.68,0.4,0.69,0.74,0.5,0.61,0.45,0.38,0.35,0.46,0.43,0.73,0.52,0.48,0.44
