,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,1.0,0.29,0.33,0.0,0.04,0.17,0.47,0.06,0.48,0.45,0.52,0.82,0.15
apolloplayer.csv,0.43,1.0,0.45,0.87,0.62,0.41,0.23,0.51,0.54,0.45,0.49,0.0,0.44
auber.csv,0.42,0.5,0.27,0.0,0.49,0.58,0.43,0.32,0.54,0.44,0.51,0.22,0.98
irrlicht.csv,0.46,0.37,0.3,0.59,0.44,0.38,0.42,0.46,0.63,0.63,1.0,0.13,0.65
k3d.csv,0.36,0.29,0.21,0.0,0.04,0.18,0.92,0.17,0.38,0.0,0.12,0.24,0.21
nug.csv,0.52,0.53,0.99,0.0,0.24,0.44,0.16,0.25,0.61,0.53,0.51,0.0,0.34
owlapi.csv,0.3,0.24,0.15,0.0,0.17,0.34,0.27,0.37,0.4,0.97,0.35,0.0,0.19
ppcboot.csv,0.6,0.43,0.65,0.38,0.66,0.46,0.55,0.62,0.91,0.5,0.54,0.36,0.61
red5.csv,0.59,0.51,0.87,0.87,0.52,0.49,0.56,0.96,0.62,0.65,0.55,0.4,0.52
redshell.csv,0.58,0.41,0.24,0.75,0.54,0.94,0.05,0.0,0.27,0.51,0.17,0.0,0.46
utgb.csv,0.36,0.54,0.33,0.0,0.93,0.29,0.54,0.44,0.25,0.32,0.23,0.24,0.28
xreal.csv,0.0,0.05,0.0,0.0,0.04,0.04,0.0,0.09,0.0,0.0,0.01,1.0,0.0
