,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.0,0.78,0.73,1.0,0.97,0.87,0.75,0.96,0.75,0.86,0.78,0.52,0.88
apolloplayer.csv,0.83,0.0,0.64,0.43,0.56,0.79,0.85,0.66,0.78,0.86,0.71,1.02,0.63
auber.csv,0.73,0.72,0.91,1.24,0.73,0.64,0.73,0.75,0.59,0.8,0.71,0.99,0.03
irrlicht.csv,0.85,0.89,0.92,0.78,0.82,0.9,0.88,0.86,0.68,0.6,0.02,0.97,0.66
k3d.csv,0.73,0.76,0.86,1.0,0.97,0.93,0.1,0.87,0.75,1.0,0.91,0.81,0.83
nug.csv,0.73,0.68,0.03,1.02,0.81,0.7,0.89,0.8,0.57,0.64,0.71,1.06,0.82
owlapi.csv,0.75,0.85,0.88,1.0,0.86,0.78,0.78,0.72,0.74,0.04,0.73,1.01,0.85
ppcboot.csv,0.68,0.8,0.58,0.89,0.62,0.86,0.67,0.56,0.1,0.73,0.59,0.94,0.59
red5.csv,0.64,0.66,0.34,0.43,0.64,0.78,0.65,0.05,0.69,0.68,0.71,0.85,0.8
redshell.csv,0.77,0.73,0.94,0.63,0.79,0.25,0.99,1.0,0.93,0.76,0.96,1.05,0.73
utgb.csv,0.71,0.55,0.73,1.0,0.09,0.79,0.54,0.64,0.83,0.73,0.82,0.82,0.79
xreal.csv,1.0,0.96,1.0,1.0,0.97,0.97,1.0,0.93,1.0,1.0,0.99,0.0,1.0
