,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,1.0,0.25,0.29,0.0,0.03,0.14,0.47,0.05,0.48,0.52,0.63,1.0,0.12
apolloplayer.csv,0.45,1.0,0.41,1.0,0.63,0.39,0.2,0.49,0.68,0.88,0.49,0.0,0.4
auber.csv,0.39,0.5,0.24,0.0,0.49,0.6,0.4,0.28,0.52,0.44,0.52,0.2,0.97
irrlicht.csv,0.95,0.92,1.0,1.0,0.46,0.8,0.77,0.6,0.79,0.68,1.0,1.0,0.82
k3d.csv,0.32,0.25,0.18,0.0,0.03,0.15,0.9,0.14,0.35,0.0,0.1,0.2,0.18
nug.csv,0.55,0.54,1.0,0.0,0.2,0.41,0.13,0.21,0.63,0.52,0.52,0.0,0.31
owlapi.csv,0.26,0.21,0.12,0.0,0.14,0.31,0.23,0.33,0.37,0.96,0.31,0.0,0.16
ppcboot.csv,0.71,0.42,0.71,1.0,0.77,0.59,0.57,0.63,0.9,0.52,0.51,0.4,0.63
red5.csv,0.63,0.5,0.94,1.0,0.51,0.53,0.57,0.95,0.75,0.84,0.62,0.4,0.67
redshell.csv,0.89,0.38,1.0,1.0,0.74,1.0,1.0,0.98,0.94,0.56,0.91,0.0,0.45
utgb.csv,0.32,0.5,0.29,0.0,0.91,0.25,0.5,0.4,0.21,0.28,0.19,0.2,0.24
xreal.csv,0.0,0.04,0.0,0.0,0.03,0.03,0.0,0.07,0.0,0.0,0.01,1.0,0.0
