,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.97,0.83,0.82,0.95,0.0,0.96,0.53,0.83,0.69,0.6,0.58,0.58,0.92
apolloplayer.csv,0.58,0.79,0.88,0.71,0.6,0.7,0.86,0.58,0.52,0.54,0.59,0.97,0.76
auber.csv,0.7,0.57,0.55,0.42,0.58,0.52,0.69,0.83,0.82,0.61,0.56,0.52,0.52
irrlicht.csv,0.43,0.43,0.38,0.37,0.43,0.5,0.4,0.35,0.54,0.54,0.5,0.37,0.42
k3d.csv,0.83,0.73,0.92,0.97,0.5,0.97,0.97,0.89,0.78,0.92,0.95,0.96,0.94
nug.csv,0.65,0.72,0.78,0.99,0.91,0.85,0.98,0.92,0.95,0.9,0.8,0.84,0.87
owlapi.csv,0.97,0.9,0.5,0.88,0.88,0.89,0.96,0.81,0.94,0.92,0.95,0.94,0.95
ppcboot.csv,0.51,0.66,0.57,0.37,0.42,0.51,0.51,0.46,0.77,0.61,0.53,0.44,0.54
red5.csv,0.55,0.63,0.61,0.6,0.52,0.64,0.58,0.46,0.7,0.58,0.61,0.56,0.51
redshell.csv,0.46,0.82,0.37,0.39,0.35,0.46,0.35,0.31,0.56,0.49,0.45,0.86,0.64
utgb.csv,0.76,0.53,0.67,0.97,0.59,0.65,0.8,0.61,0.51,0.87,0.7,0.76,0.7
xreal.csv,0.0,0.88,0.0,0.88,0.0,0.83,0.8,0.67,0.5,0.92,0.67,0.8,0.5
