,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,1.0,0.26,0.45,0.0,1.0,0.96,0.13,0.33,0.5,0.12,0.76,0.05,0.67
apolloplayer.csv,0.1,1.0,0.44,0.0,0.63,0.95,0.1,0.64,0.52,0.16,0.77,0.0,0.71
auber.csv,0.13,0.23,0.18,0.0,0.52,0.97,0.14,0.67,0.63,0.13,0.77,0.01,1.0
irrlicht.csv,0.15,0.24,0.34,0.0,0.46,0.95,0.13,0.54,0.58,0.2,0.99,0.03,0.61
k3d.csv,0.16,0.4,0.25,0.0,0.5,0.9,0.93,0.67,0.51,0.0,0.81,0.04,0.67
nug.csv,0.13,0.25,0.94,0.0,0.64,0.96,0.1,0.75,0.62,0.19,0.77,0.0,0.46
owlapi.csv,0.27,0.17,1.0,0.0,0.62,0.95,0.26,0.67,0.52,1.0,0.82,0.0,0.58
ppcboot.csv,0.15,0.19,0.4,0.0,0.6,0.95,0.16,0.69,0.98,0.15,0.84,0.02,0.63
red5.csv,0.16,0.26,0.57,0.0,0.58,0.95,0.17,1.0,0.57,0.2,0.78,0.02,0.53
redshell.csv,0.15,0.23,0.33,0.0,0.53,0.99,0.15,0.59,0.53,0.15,0.76,0.0,0.54
utgb.csv,0.22,0.4,0.42,0.0,1.0,0.96,0.3,0.74,0.49,0.3,0.82,0.03,0.59
xreal.csv,0.0,0.12,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,0.0
