,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.0,0.22,0.17,0.04,0.0,0.12,0.53,0.14,0.54,0.71,0.69,0.52,0.07
apolloplayer.csv,0.62,0.0,0.25,0.43,0.42,0.5,0.3,0.41,0.71,0.85,0.49,0.21,0.2
auber.csv,0.41,0.52,0.5,0.74,0.52,0.5,0.41,0.21,0.34,0.56,0.53,0.59,0.0
irrlicht.csv,0.85,0.89,0.92,0.78,0.61,0.88,0.85,0.76,0.65,0.5,0.02,0.97,0.64
k3d.csv,0.26,0.11,0.25,0.06,0.03,0.38,0.01,0.1,0.38,0.09,0.08,0.14,0.11
nug.csv,0.57,0.51,0.03,0.2,0.13,0.38,0.21,0.1,0.44,0.42,0.53,0.35,0.45
owlapi.csv,0.11,0.3,0.0,0.02,0.1,0.38,0.11,0.24,0.38,0.0,0.24,0.1,0.15
ppcboot.csv,0.62,0.54,0.5,0.89,0.58,0.75,0.51,0.41,0.02,0.55,0.33,0.73,0.45
red5.csv,0.52,0.43,0.33,0.43,0.42,0.62,0.48,0.0,0.64,0.66,0.61,0.61,0.73
redshell.csv,0.76,0.38,0.94,0.63,0.74,0.25,0.99,1.0,0.93,0.62,0.96,0.32,0.47
utgb.csv,0.17,0.23,0.19,0.07,0.0,0.25,0.2,0.21,0.24,0.12,0.14,0.18,0.2
xreal.csv,0.0,0.09,0.03,0.02,0.0,0.0,0.03,0.0,0.02,0.09,0.02,0.0,0.04
