,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.89,0.6,0.98,0.62,0.36,0.77,1.0,0.68,0.43,0.76,1.0,0.87,1.0,0.84,0.64
arianne.csv,0.4,1.0,1.0,0.98,0.96,0.71,0.97,1.0,0.57,0.95,0.93,0.96,0.95,0.89,0.95
auber.csv,0.52,0.61,1.0,0.94,0.58,0.4,0.8,0.7,0.6,0.32,0.59,1.0,0.58,0.5,0.88
bl-toolkit.csv,0.71,0.85,0.29,0.82,0.89,0.98,1.0,0.97,1.0,1.02,1.0,0.41,1.0,1.0,0.93
growl-for-windows.csv,1.0,0.42,0.92,0.83,0.85,1.0,0.59,0.79,0.51,0.77,0.8,1.0,0.56,0.52,0.33
keyczar.csv,0.94,1.0,1.0,0.8,0.88,1.03,0.94,0.98,1.01,0.99,0.83,1.0,0.92,0.45,0.8
kml.csv,0.8,1.0,0.51,0.91,0.87,0.61,0.32,0.91,0.78,0.71,0.68,1.0,0.92,0.67,0.86
knowledge.csv,0.55,0.16,0.7,0.63,0.69,0.95,0.65,0.75,0.71,0.66,0.68,0.94,0.6,0.59,0.88
les-indemodables.csv,0.65,0.44,0.75,0.54,0.55,0.65,0.43,0.7,0.44,0.51,0.81,0.92,0.37,0.53,0.85
lportal.csv,0.96,0.81,0.96,1.0,1.0,0.92,0.72,1.0,0.85,0.87,0.99,0.33,0.54,1.0,1.0
lufa-lib.csv,0.82,0.88,0.51,0.79,0.67,0.67,0.64,0.74,0.56,0.68,0.43,0.61,0.73,0.57,0.85
micomt.csv,0.91,1.0,0.7,0.83,0.8,0.28,0.48,0.95,0.78,0.76,0.61,0.94,0.71,0.69,0.9
sigil.csv,0.55,0.45,0.92,0.89,0.34,0.62,0.97,0.57,0.23,0.65,0.88,0.48,0.46,0.88,0.5
ultimairis.csv,0.57,0.31,0.74,0.65,0.55,0.36,1.0,0.43,0.9,0.51,0.8,1.0,0.66,1.0,0.6
voms.csv,0.54,0.3,0.96,0.2,1.0,0.62,0.45,0.77,0.38,0.59,0.73,0.94,0.56,1.0,0.89
