,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.32,0.14,0.31,0.18,0.27,0.59,0.0,0.02,0.32,0.38,0.02,0.11,0.23,0.03,0.33,0.37
bdbbasic.csv,0.81,0.5,0.38,0.41,0.36,0.89,0.14,0.22,0.68,0.95,0.6,0.53,0.47,0.49,0.67,0.81
crux-framework.csv,0.39,0.41,0.25,0.26,0.27,0.32,0.78,0.27,0.63,0.35,0.64,0.16,0.35,0.51,1.0,0.07
echongl.csv,0.48,0.27,1.0,0.62,0.73,0.46,0.22,0.37,0.74,0.82,0.51,0.53,0.46,0.59,0.67,0.52
etherboot.csv,0.0,0.77,0.0,0.05,0.55,0.19,0.0,0.98,0.47,0.0,0.7,1.0,0.07,0.0,1.0,1.0
freebios.csv,0.32,0.32,0.12,0.51,0.55,0.32,0.67,0.44,0.53,0.49,0.36,0.42,0.45,0.24,0.67,0.11
gebr.csv,1.0,1.0,0.81,0.85,0.77,0.97,0.96,0.7,1.0,0.97,0.91,0.89,0.87,0.96,1.0,1.0
gnukeda.csv,0.87,0.32,0.31,0.77,0.32,0.24,0.2,0.2,0.0,0.04,0.13,0.21,0.84,0.02,0.33,0.7
google-gears.csv,0.81,0.73,0.5,0.44,0.77,0.97,0.39,0.76,0.89,0.94,0.89,0.68,0.68,0.76,1.0,0.96
gstreamer.csv,0.77,0.68,0.19,0.54,0.59,0.84,0.47,0.47,0.89,0.74,0.77,0.74,0.58,0.71,1.0,0.96
jnode.csv,0.03,0.36,0.75,0.36,0.0,0.0,0.1,0.47,0.21,0.1,0.04,0.05,0.13,0.02,0.33,0.04
metacosm.csv,0.23,0.73,0.62,0.33,0.18,0.49,0.04,0.43,0.16,0.45,0.47,0.53,0.26,0.24,0.33,0.74
openmeetings.csv,0.55,0.91,0.69,0.21,0.55,0.59,0.04,0.44,0.37,0.57,0.62,0.26,0.29,0.24,0.67,0.56
pgui.csv,0.58,0.95,0.0,0.64,0.77,0.68,0.08,0.69,0.84,0.04,0.72,0.79,0.64,0.0,1.0,1.0
tradelink.csv,0.23,0.68,0.69,0.46,0.27,0.65,0.61,0.58,0.63,0.7,0.83,0.74,0.28,0.81,0.33,0.89
wxcrp.csv,0.55,0.77,1.0,0.64,1.0,0.95,0.82,0.99,0.95,0.93,0.98,0.89,0.6,0.95,0.33,0.78
