,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.73,0.89,0.83,0.83,0.77,0.47,1.0,0.98,0.68,0.75,0.98,0.89,0.77,0.97,0.84,0.81
bdbbasic.csv,0.58,0.7,0.75,0.68,0.73,0.59,0.87,0.78,0.39,0.95,0.51,0.53,0.55,0.52,0.42,0.73
crux-framework.csv,0.73,0.67,0.76,0.88,0.75,1.01,0.85,0.8,0.8,0.68,0.81,0.86,0.74,0.66,0.13,0.94
echongl.csv,0.61,0.73,0.91,0.71,0.8,0.65,0.8,0.63,0.49,0.24,0.64,0.55,0.67,0.57,0.8,0.66
etherboot.csv,1.0,0.3,1.0,0.95,0.6,0.81,1.0,0.97,0.55,1.0,0.53,1.0,0.94,1.0,0.72,0.94
freebios.csv,0.95,0.69,0.94,0.74,0.76,0.79,0.45,0.97,0.73,0.54,0.73,0.85,0.85,0.88,0.61,0.92
gebr.csv,0.89,1.0,0.84,0.8,0.79,0.95,1.0,0.34,0.98,1.0,0.73,0.93,0.66,0.87,1.0,1.0
gnukeda.csv,0.74,0.71,0.81,0.34,0.75,0.76,0.87,0.8,1.0,1.09,0.87,0.84,0.88,0.98,0.98,0.89
google-gears.csv,0.52,0.44,0.64,0.61,0.71,0.9,0.99,0.58,0.7,0.95,0.82,0.66,0.43,0.5,0.61,0.94
gstreamer.csv,0.6,0.94,1.0,0.64,0.77,0.82,0.96,0.54,0.72,0.88,0.7,0.64,0.62,0.39,0.84,1.0
jnode.csv,0.97,0.69,0.3,0.7,1.0,1.0,0.9,0.91,0.8,0.91,0.96,0.95,0.89,0.98,0.7,0.96
metacosm.csv,0.78,0.7,0.57,0.69,0.85,0.59,0.98,0.58,0.84,0.94,0.67,0.64,0.75,0.77,0.75,0.41
openmeetings.csv,0.47,0.23,0.58,0.8,0.68,0.5,0.96,0.57,0.64,0.79,0.57,0.78,0.74,0.77,0.43,0.57
pgui.csv,0.67,0.98,1.0,0.5,0.77,0.76,0.92,0.48,0.75,0.96,0.39,0.82,0.52,1.0,1.0,1.0
tradelink.csv,0.78,0.43,0.58,0.57,0.76,0.62,0.61,0.48,0.49,0.5,0.73,0.43,0.75,0.83,0.88,0.75
wxcrp.csv,0.5,0.97,0.9,0.78,1.0,0.98,0.96,1.0,0.76,0.82,0.97,0.54,0.63,0.9,0.95,0.96
