,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.28,0.21,0.47,0.12,0.25,0.24,0.0,0.0,0.02,0.42,0.01,0.0,0.08,0.01,0.5,0.52
bdbbasic.csv,0.55,0.49,0.41,0.34,0.36,0.57,0.14,0.0,0.22,0.95,0.31,0.23,0.16,0.12,0.26,0.71
crux-framework.csv,0.4,0.31,0.11,0.47,0.2,0.75,0.82,0.32,0.71,0.21,0.72,0.19,0.35,0.44,0.13,0.16
echongl.csv,0.33,0.07,0.91,0.59,0.75,0.36,0.22,0.0,0.41,0.16,0.41,0.27,0.41,0.39,0.72,0.45
etherboot.csv,0.0,0.2,0.0,0.0,0.39,0.02,0.0,0.97,0.16,0.0,0.44,1.0,0.08,0.0,0.72,0.94
freebios.csv,0.67,0.11,0.34,0.56,0.61,0.4,0.31,0.79,0.55,0.18,0.34,0.62,0.65,0.45,0.51,0.23
gebr.csv,0.89,1.0,0.82,0.78,0.75,0.95,1.0,0.16,0.98,1.0,0.72,0.92,0.65,0.87,1.0,1.0
gnukeda.csv,0.73,0.21,0.43,0.25,0.31,0.08,0.35,0.05,0.0,0.53,0.03,0.3,0.86,0.0,0.72,0.84
google-gears.csv,0.48,0.34,0.4,0.22,0.67,0.9,0.78,0.53,0.69,0.95,0.81,0.58,0.3,0.43,0.61,0.94
gstreamer.csv,0.56,0.89,0.58,0.44,0.66,0.8,0.8,0.08,0.71,0.84,0.66,0.58,0.46,0.26,0.84,1.0
jnode.csv,0.03,0.25,0.17,0.28,0.1,0.06,0.04,0.74,0.12,0.11,0.02,0.05,0.16,0.03,0.2,0.03
metacosm.csv,0.09,0.65,0.42,0.19,0.21,0.3,0.22,0.08,0.04,0.76,0.4,0.43,0.08,0.1,0.34,0.32
openmeetings.csv,0.13,0.22,0.48,0.03,0.51,0.3,0.04,0.11,0.12,0.66,0.42,0.25,0.22,0.08,0.28,0.35
pgui.csv,0.52,0.98,0.0,0.34,0.74,0.69,0.1,0.37,0.73,0.03,0.28,0.79,0.38,0.0,1.0,1.0
tradelink.csv,0.07,0.29,0.49,0.19,0.23,0.51,0.47,0.24,0.33,0.39,0.71,0.34,0.22,0.81,0.57,0.74
wxcrp.csv,0.21,0.94,0.9,0.69,1.0,0.98,0.94,1.0,0.76,0.82,0.97,0.53,0.49,0.9,0.68,0.94
